template,train_max,seed,depth,in_train,greedy_correct,greedy_valid,correct1,valid1,joint1,correct2,valid2,joint2,correct4,valid4,joint4,correct8,valid8,joint8,correct16,valid16,joint16
logic,5,3407,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logic,5,3407,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logic,5,3407,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logic,5,3407,10,0,0.28125,0.21875,0.306640625,0.146484375,0.14453125,0.515625,0.26223958333333336,0.2591145833333333,0.7558207417582418,0.43392857142857144,0.43015109890109887,0.9216758935508935,0.6495410839160839,0.647618006993007,0.96875,0.875,0.875
logic,5,3407,12,0,0.59375,0.4375,0.490234375,0.294921875,0.2890625,0.7320312499999999,0.49453125,0.48697916666666663,0.9180975274725275,0.7291208791208792,0.7229395604395604,0.9912563131313131,0.9193521756021756,0.9173222610722611,1.0,1.0,1.0
logic,5,3407,15,0,0.625,0.53125,0.416015625,0.19140625,0.181640625,0.62578125,0.3286458333333333,0.31276041666666665,0.8131696428571429,0.5085508241758242,0.4879807692307692,0.9209838772338772,0.6955759518259518,0.6808614996114997,0.96875,0.84375,0.84375
logic,5,3407,18,0,0.1875,0.0625,0.203125,0.060546875,0.05078125,0.3536458333333333,0.115625,0.09765625,0.5558722527472527,0.2115728021978022,0.18100961538461538,0.7620119463869464,0.36009615384615384,0.3144230769230769,0.90625,0.5625,0.5
logic,5,3407,20,0,0.09375,0.0,0.078125,0.0,0.0,0.15026041666666667,0.0,0.0,0.27810782967032965,0.0,0.0,0.47796474358974356,0.0,0.0,0.71875,0.0,0.0
logic,5,3407,25,0,0.03125,0.0,0.06640625,0.001953125,0.0,0.12604166666666666,0.00390625,0.0,0.2284684065934066,0.0078125,0.0,0.38485576923076925,0.015625,0.0,0.59375,0.03125,0.0
logic,5,3407,30,0,0.03125,0.0,0.064453125,0.0,0.0,0.12135416666666667,0.0,0.0,0.2161916208791209,0.0,0.0,0.3504807692307692,0.0,0.0,0.5,0.0,0.0
logic,5,3407,35,0,0.03125,0.0,0.056640625,0.0,0.0,0.10885416666666667,0.0,0.0,0.2013221153846154,0.0,0.0,0.3467147435897436,0.0,0.0,0.53125,0.0,0.0
logic,5,3407,40,0,0.0,0.0,0.041015625,0.001953125,0.0,0.07968750000000001,0.00390625,0.0,0.15022321428571428,0.0078125,0.0,0.265625,0.015625,0.0,0.40625,0.03125,0.0
logic,5,3407,45,0,0.0,0.0,0.03125,0.0,0.0,0.06171875,0.0,0.0,0.12031249999999999,0.0,0.0,0.228125,0.0,0.0,0.40625,0.0,0.0
logic,5,3407,50,0,0.03125,0.0,0.037109375,0.0,0.0,0.07369791666666667,0.0,0.0,0.1453125,0.0,0.0,0.28229166666666666,0.0,0.0,0.53125,0.0,0.0
logic,5,3408,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logic,5,3408,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logic,5,3408,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logic,5,3408,10,0,0.21875,0.09375,0.185546875,0.119140625,0.095703125,0.32265625,0.215625,0.17734375,0.5095638736263737,0.36641483516483514,0.31052541208791207,0.7138986013986014,0.5737762237762237,0.5029938811188811,0.875,0.78125,0.71875
logic,5,3408,12,0,0.09375,0.0625,0.236328125,0.189453125,0.17578125,0.39947916666666666,0.32708333333333334,0.3067708333333333,0.6042067307692308,0.508121565934066,0.4849416208791209,0.7967900155400156,0.6985844017094017,0.681840034965035,0.9375,0.875,0.875
logic,5,3408,15,0,0.0,0.0,0.0390625,0.0078125,0.001953125,0.07708333333333334,0.015364583333333334,0.00390625,0.15,0.0296875,0.0078125,0.2833333333333333,0.05520833333333333,0.015625,0.5,0.09375,0.03125
logic,5,3408,18,0,0.0,0.03125,0.01171875,0.00390625,0.0,0.023177083333333334,0.0078125,0.0,0.0453125,0.015625,0.0,0.08645833333333333,0.03125,0.0,0.15625,0.0625,0.0
logic,5,3408,20,0,0.0,0.0,0.013671875,0.0078125,0.001953125,0.027083333333333334,0.015625,0.00390625,0.053125,0.03125,0.0078125,0.10208333333333333,0.0625,0.015625,0.1875,0.125,0.03125
logic,5,3408,25,0,0.0,0.0,0.017578125,0.013671875,0.001953125,0.03515625,0.0265625,0.00390625,0.0703125,0.05022321428571429,0.0078125,0.140625,0.090625,0.015625,0.28125,0.15625,0.03125
logic,5,3408,30,0,0.03125,0.0,0.017578125,0.015625,0.001953125,0.03411458333333334,0.03072916666666667,0.00390625,0.06428571428571428,0.059375,0.0078125,0.11458333333333333,0.11041666666666666,0.015625,0.1875,0.1875,0.03125
logic,5,3408,35,0,0.0,0.0,0.01171875,0.015625,0.001953125,0.02291666666666667,0.03125,0.00390625,0.04375,0.0625,0.0078125,0.07916666666666666,0.125,0.015625,0.125,0.25,0.03125
