template,train_max,depth,n,greedy_correct_mean,greedy_correct_std,greedy_valid_mean,greedy_valid_std,correct1_mean,correct1_std,valid1_mean,valid1_std,joint1_mean,joint1_std,correct2_mean,correct2_std,valid2_mean,valid2_std,joint2_mean,joint2_std,correct4_mean,correct4_std,valid4_mean,valid4_std,joint4_mean,joint4_std,correct8_mean,correct8_std,valid8_mean,valid8_std,joint8_mean,joint8_std,correct16_mean,correct16_std,valid16_mean,valid16_std,joint16_mean,joint16_std
logic,5,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,5,2,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,5,5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,5,10,3,0.2916666666666667,0.06421264586426018,0.16666666666666666,0.05311478659992484,0.2604166666666667,0.05342509958054334,0.13346354166666666,0.01120094435812842,0.12434895833333333,0.020812978337429403,0.44296874999999997,0.08568381115935302,0.24053819444444446,0.01916536139375919,0.2259548611111111,0.035125264980767554,0.6648580586080586,0.11034647818410112,0.4023179945054945,0.027728996182469823,0.38194826007326005,0.051523152435500756,0.8474180911680912,0.0946108220641199,0.6090666278166278,0.031147330595267864,0.5848023504273504,0.06055069307682841,0.9375,0.04419417382415922,0.8125,0.04419417382415922,0.7916666666666666,0.06421264586426018
logic,5,12,3,0.34375,0.2041241452319315,0.1875,0.1767766952966369,0.3138020833333333,0.12506440940397862,0.16666666666666666,0.11515526651359013,0.16015625,0.1121758205387492,0.5021701388888888,0.16284328908718657,0.2839409722222222,0.19199807330134191,0.27465277777777775,0.18785380071660204,0.7026098901098902,0.15256351531742854,0.43123855311355314,0.27993686013971014,0.4214514652014652,0.2757626969453921,0.8566983941983942,0.0953369484936347,0.5722983035483036,0.3466243384893069,0.5660402097902099,0.34398360347450796,0.9479166666666666,0.03897559777889522,0.6770833333333334,0.3718035061994739,0.6770833333333334,0.3718035061994739
logic,5,15,3,0.21875,0.28754528628838044,0.17708333333333334,0.25043365167023557,0.18880208333333334,0.16335049286058226,0.06640625,0.088445873425738,0.061197916666666664,0.0851695883412137,0.3032986111111111,0.23411949164199303,0.11467013888888888,0.15143362894898527,0.10555555555555556,0.14652464081357727,0.44106570512820514,0.27673560204535236,0.17941277472527473,0.23305110828764114,0.16526442307692307,0.2282172047929038,0.5877638565138565,0.2611145092490999,0.2502614283864284,0.31569052209084825,0.23216216653716656,0.317342458323563,0.7395833333333334,0.19150808657135662,0.3125,0.3775951866748304,0.2916666666666667,0.3905902762344307
logic,5,18,3,0.10416666666666667,0.07795119555779044,0.03125,0.02551551815399144,0.09635416666666667,0.0796934570213508,0.021484375,0.027667355938640337,0.016927083333333332,0.023938510821419578,0.17109375,0.1371182160215431,0.04114583333333333,0.052761213592204474,0.032552083333333336,0.04603559773349919,0.2792296245421245,0.21061325817522658,0.07573260073260073,0.09626510411992462,0.06033653846153846,0.08532875099895357,0.4110212703962704,0.276425987762936,0.13044871794871796,0.16288564339376302,0.10480769230769231,0.14822045990256477,0.5520833333333334,0.30760048042152915,0.20833333333333334,0.2517301244498869,0.16666666666666666,0.23570226039551584
logic,5,20,3,0.052083333333333336,0.03897559777889522,0.0,0.0,0.044270833333333336,0.026413362988412493,0.0026041666666666665,0.003682847818679935,0.0006510416666666666,0.0009207119546699837,0.08559027777777778,0.05047532195008276,0.005208333333333333,0.00736569563735987,0.0013020833333333333,0.0018414239093399675,0.16025641025641024,0.09216111746598979,0.010416666666666666,0.01473139127471974,0.0026041666666666665,0.003682847818679935,0.2832264957264957,0.15375376072536923,0.020833333333333332,0.02946278254943948,0.005208333333333333,0.00736569563735987,0.4583333333333333,0.2170069443333298,0.041666666666666664,0.05892556509887896,0.010416666666666666,0.01473139127471974
logic,5,25,3,0.052083333333333336,0.05311478659992484,0.0,0.0,0.045572916666666664,0.02056714713402515,0.005208333333333333,0.006037512041338349,0.0006510416666666666,0.0009207119546699837,0.08793402777777777,0.03852660960888262,0.01015625,0.011710066227040164,0.0013020833333333333,0.0018414239093399675,0.1643257783882784,0.06793386246621874,0.019345238095238096,0.02206574795585851,0.0026041666666666665,0.003682847818679935,0.29113247863247865,0.10748798434488645,0.035416666666666666,0.039555911554265674,0.005208333333333333,0.00736569563735987,0.4791666666666667,0.1405285162836671,0.0625,0.06750771560841522,0.010416666666666666,0.01473139127471974
logic,5,30,3,0.03125,0.0,0.0,0.0,0.038411458333333336,0.01948779888944761,0.005208333333333333,0.00736569563735987,0.0006510416666666666,0.0009207119546699837,0.07317708333333334,0.0361938571864399,0.010243055555555556,0.014485868086807746,0.0013020833333333333,0.0018414239093399675,0.133367673992674,0.06277198299253198,0.019791666666666666,0.027989643421967504,0.0026041666666666665,0.003682847818679935,0.2254540598290598,0.09682353004227873,0.03680555555555556,0.05205091583734308,0.005208333333333333,0.00736569563735987,0.34375,0.1275775907699572,0.0625,0.08838834764831845,0.010416666666666666,0.01473139127471974
logic,5,35,3,0.020833333333333332,0.01473139127471974,0.0,0.0,0.029296875,0.019596246019911993,0.005208333333333333,0.00736569563735987,0.0006510416666666666,0.0009207119546699837,0.05668402777777778,0.037419336792770694,0.010416666666666666,0.01473139127471974,0.0013020833333333333,0.0018414239093399675,0.10616987179487179,0.06836567856843533,0.020833333333333332,0.02946278254943948,0.0026041666666666665,0.003682847818679935,0.18675213675213675,0.1153343450063718,0.041666666666666664,0.05892556509887896,0.005208333333333333,0.00736569563735987,0.2916666666666667,0.17368054167221944,0.08333333333333333,0.11785113019775792,0.010416666666666666,0.01473139127471974
logic,5,40,3,0.020833333333333332,0.02946278254943948,0.0,0.0,0.021484375,0.01680141653719263,0.0026041666666666665,0.0024359748611809512,0.0,0.0,0.04192708333333334,0.032665427671018724,0.005121527777777778,0.004756120670764835,0.0,0.0,0.07983630952380952,0.06169128498877098,0.009895833333333333,0.009051118331761858,0.0,0.0,0.14479166666666668,0.1097562798760154,0.01840277777777778,0.01627876134684867,0.0,0.0,0.23958333333333334,0.17368054167221944,0.03125,0.02551551815399144,0.0,0.0
logic,5,45,3,0.03125,0.04419417382415922,0.010416666666666666,0.01473139127471974,0.021484375,0.013810679320049757,0.001953125,0.0027621358640099515,0.0,0.0,0.04201388888888889,0.02695141259768776,0.00390625,0.005524271728019903,0.0,0.0,0.08050022893772893,0.05147594453004726,0.0078125,0.011048543456039806,0.0,0.0,0.14890491452991453,0.09480123535933292,0.015625,0.02209708691207961,0.0,0.0,0.2604166666666667,0.1640418307085794,0.03125,0.04419417382415922,0.0,0.0
logic,5,50,3,0.020833333333333332,0.01473139127471974,0.0,0.0,0.017578125,0.014615849167085708,0.0026041666666666665,0.003682847818679935,0.0,0.0,0.034895833333333334,0.029022928306372736,0.005208333333333333,0.00736569563735987,0.0,0.0,0.06875,0.05721111761857714,0.010416666666666666,0.01473139127471974,0.0,0.0,0.13333333333333333,0.11108615171051633,0.020833333333333332,0.02946278254943948,0.0,0.0,0.25,0.20885351724753565,0.041666666666666664,0.05892556509887896,0.0,0.0
logic,10,1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,2,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,5,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,10,3,1.0,0.0,1.0,0.0,0.9973958333333334,0.0024359748611809512,0.998046875,0.0027621358640099515,0.9973958333333334,0.0024359748611809512,0.9997395833333333,0.0003682847818679726,0.9997395833333333,0.0003682847818679726,0.9997395833333333,0.0003682847818679726,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
logic,10,12,3,0.96875,0.02551551815399144,0.9479166666666666,0.03897559777889522,0.9674479166666666,0.03913838115934671,0.9518229166666666,0.050689353280785755,0.9485677083333334,0.05378092819808173,0.9949652777777778,0.0069368448000024716,0.990625,0.010927161118778336,0.9901909722222222,0.011537630703953129,0.999702380952381,0.00042089689356341963,0.999444826007326,0.0007609812281684384,0.9994391025641026,0.0007690740399377766,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
