train_max,seed,delta_greedy_ood_correct,delta_greedy_depth50_correct,delta_ood_correct1,delta_ood_joint1,delta_depth50_correct1,delta_depth50_joint1,delta_ood_correct2,delta_ood_joint2,delta_depth50_correct2,delta_depth50_joint2,delta_ood_correct4,delta_ood_joint4,delta_depth50_correct4,delta_depth50_joint4,delta_ood_correct8,delta_ood_joint8,delta_depth50_correct8,delta_depth50_joint8,delta_ood_correct16,delta_ood_joint16,delta_depth50_correct16,delta_depth50_joint16
5,3407,-0.43465909090909083,0.03125,-0.42098721590909094,-0.5076349431818182,-0.025390625,-0.046875,-0.3729166666666667,-0.517376893939394,-0.04348958333333333,-0.08828125,-0.3021681443556444,-0.5136082667332669,-0.06334134615384615,-0.1579326923076923,-0.22694161898707355,-0.5078591862682772,-0.06327214452214452,-0.2619391025641026,-0.15056818181818177,-0.5142045454545454,0.0,-0.40625
5,3408,-0.5994318181818182,-0.0625,-0.5083451704545454,-0.5163352272727273,-0.03125,-0.01171875,-0.5060842803030303,-0.5260890151515152,-0.060416666666666674,-0.02265625,-0.49223745004994995,-0.526663961038961,-0.11294642857142857,-0.04241071428571429,-0.4782161651479833,-0.5279177262131808,-0.19791666666666666,-0.075,-0.46306818181818177,-0.5369318181818182,-0.3125,-0.125
5,3409,-0.33238636363636365,0.03125,-0.34801136363636365,-0.40625,0.001953125,-0.00390625,-0.3455018939393939,-0.4515388257575757,0.004166666666666666,-0.007552083333333334,-0.29474119630369633,-0.47229645354645355,0.009375000000000001,-0.014062499999999999,-0.20459821113230198,-0.4728049728049728,0.02291666666666667,-0.02395833333333333,-0.09090909090909094,-0.46875,0.0625,-0.03125
10,3407,-0.35,-0.03125,-0.33808593750000004,-0.36406250000000007,-0.013671875,-0.009765625,-0.2765364583333333,-0.3082552083333334,-0.019010416666666655,-0.01875,-0.21520432692307695,-0.2640659340659341,-0.016861263736263746,-0.03459821428571429,-0.14445075757575754,-0.23548416860916865,0.0022460178710178857,-0.059375,-0.06562499999999993,-0.221875,0.03125,-0.09375
10,3408,-0.16250000000000003,-0.03125,-0.169140625,-0.1810546875,0.009765625,0.0,-0.1274739583333333,-0.165703125,0.019270833333333334,0.0,-0.07812671703296709,-0.1608980082417582,0.0375,0.0,-0.012345085470085504,-0.16205322455322457,0.07083333333333333,0.0,0.07499999999999996,-0.16562499999999997,0.125,0.0
10,3409,-0.29375,-0.0625,-0.3068359375,-0.3908203125,-0.05859375,-0.068359375,-0.27270833333333333,-0.3941927083333334,-0.10234375000000001,-0.12317708333333333,-0.2262912087912089,-0.40661057692307695,-0.1585679945054945,-0.2041723901098901,-0.16695561383061397,-0.42218167249417254,-0.20198135198135198,-0.30222173659673657,-0.109375,-0.4375,-0.1875,-0.40625
15,3407,-0.3984375,0.1875,-0.275634765625,-0.375,0.03125,0.0,-0.19892578125,-0.3727213541666667,0.062239583333333334,0.0,-0.08728537087912086,-0.37070097870879115,0.1234375,0.0,0.048919179778554756,-0.3678476471445221,0.24270833333333333,0.0,0.18359375,-0.36328125,0.46875,0.0
15,3408,-0.2890625,-0.125,-0.23193359375,-0.366943359375,0.009765625,-0.001953125,-0.14876302083333331,-0.36676432291666666,0.019791666666666666,-0.00390625,-0.042035113324175755,-0.3590273008241759,0.04062500000000001,-0.0078125,0.05722125097125108,-0.34414062500000003,0.08541666666666667,-0.015625,0.12109375,-0.31640625,0.1875,-0.03125
15,3409,-0.19140625,0.03125,-0.19580078125,-0.347900390625,0.0,-0.001953125,-0.11865234375,-0.35263671874999997,0.00026041666666666574,-0.00390625,-0.030741328983516558,-0.34234632554945055,0.0015625000000000014,-0.0078125,0.036457422785547755,-0.3221882284382285,0.0072916666666666685,-0.015625,0.0859375,-0.296875,0.03125,-0.03125
20,3407,-0.6666666666666666,-0.34375,-0.2265625,-0.3815104166666667,-0.064453125,-0.076171875,-0.1654947916666667,-0.42595486111111114,-0.11822916666666666,-0.14166666666666666,-0.09943624084249086,-0.4954384157509158,-0.20142513736263737,-0.24830013736263737,-0.0473739801864802,-0.5864352661227661,-0.30662150349650347,-0.40037150349650347,-0.01041666666666663,-0.6822916666666666,-0.40625,-0.59375
