template,train_max,seed,depth,in_train,correct1,correct16,valid16,joint16
logic,5,3407,1,1,1.0,1.0,1.0,1.0
logic,5,3407,2,1,1.0,1.0,1.0,1.0
logic,5,3407,5,1,0.998046875,1.0,1.0,1.0
logic,5,3407,10,0,0.11328125,0.75,0.78125,0.34375
logic,5,3407,12,0,0.05859375,0.5,0.8125,0.3125
logic,5,3407,15,0,0.02734375,0.34375,0.28125,0.0625
logic,5,3407,18,0,0.013671875,0.1875,0.1875,0.0
logic,5,3407,20,0,0.005859375,0.09375,0.03125,0.0
logic,5,3407,25,0,0.0078125,0.125,0.09375,0.0
logic,5,3407,30,0,0.0,0.0,0.03125,0.0
logic,5,3407,35,0,0.001953125,0.03125,0.0,0.0
logic,5,3407,40,0,0.0,0.0,0.03125,0.0
logic,5,3407,45,0,0.001953125,0.03125,0.0,0.0
logic,5,3407,50,0,0.005859375,0.09375,0.125,0.03125
logic,5,3408,1,1,1.0,1.0,1.0,1.0
logic,5,3408,2,1,1.0,1.0,1.0,1.0
logic,5,3408,5,1,0.99609375,1.0,1.0,1.0
logic,5,3408,10,0,0.10546875,0.875,0.84375,0.375
logic,5,3408,12,0,0.029296875,0.34375,0.65625,0.0625
logic,5,3408,15,0,0.03515625,0.375,0.15625,0.03125
logic,5,3408,18,0,0.0078125,0.125,0.125,0.0625
logic,5,3408,20,0,0.021484375,0.28125,0.25,0.03125
logic,5,3408,25,0,0.0078125,0.125,0.03125,0.0
logic,5,3408,30,0,0.00390625,0.0625,0.03125,0.0
logic,5,3408,35,0,0.0078125,0.09375,0.21875,0.03125
logic,5,3408,40,0,0.009765625,0.15625,0.21875,0.0
logic,5,3408,45,0,0.015625,0.21875,0.125,0.0
logic,5,3408,50,0,0.00390625,0.03125,0.3125,0.0
logic,5,3409,1,1,1.0,1.0,1.0,1.0
logic,5,3409,2,1,1.0,1.0,1.0,1.0
logic,5,3409,5,1,1.0,1.0,1.0,1.0
logic,5,3409,10,0,0.13671875,0.875,0.34375,0.125
logic,5,3409,12,0,0.083984375,0.71875,0.53125,0.15625
logic,5,3409,15,0,0.0546875,0.53125,0.40625,0.03125
logic,5,3409,18,0,0.03125,0.3125,0.5,0.03125
logic,5,3409,20,0,0.021484375,0.28125,0.21875,0.03125
logic,5,3409,25,0,0.033203125,0.40625,0.03125,0.0
logic,5,3409,30,0,0.01171875,0.1875,0.09375,0.0
logic,5,3409,35,0,0.029296875,0.34375,0.03125,0.0
logic,5,3409,40,0,0.048828125,0.375,0.09375,0.0
logic,5,3409,45,0,0.048828125,0.5,0.0,0.0
logic,5,3409,50,0,0.025390625,0.28125,0.03125,0.0
logic,10,3407,1,1,1.0,1.0,1.0,1.0
logic,10,3407,2,1,1.0,1.0,1.0,1.0
logic,10,3407,5,1,1.0,1.0,1.0,1.0
logic,10,3407,10,1,0.998046875,1.0,1.0,1.0
logic,10,3407,12,0,0.96484375,1.0,1.0,1.0
logic,10,3407,15,0,0.62890625,1.0,1.0,1.0
logic,10,3407,18,0,0.375,1.0,0.96875,0.9375
logic,10,3407,20,0,0.0625,0.59375,1.0,0.28125
logic,10,3407,25,0,0.10546875,0.71875,0.90625,0.15625
logic,10,3407,30,0,0.10546875,0.65625,0.75,0.15625
logic,10,3407,35,0,0.033203125,0.375,0.3125,0.03125
logic,10,3407,40,0,0.01953125,0.3125,0.3125,0.0625
logic,10,3407,45,0,0.005859375,0.0625,0.28125,0.0
logic,10,3407,50,0,0.01953125,0.28125,0.28125,0.0
logic,10,3408,1,1,1.0,1.0,1.0,1.0
logic,10,3408,2,1,1.0,1.0,1.0,1.0
logic,10,3408,5,1,1.0,1.0,1.0,1.0
logic,10,3408,10,1,1.0,1.0,1.0,1.0
logic,10,3408,12,0,0.912109375,1.0,1.0,1.0
logic,10,3408,15,0,0.51953125,1.0,0.71875,0.71875
logic,10,3408,18,0,0.42578125,1.0,1.0,0.9375
logic,10,3408,20,0,0.126953125,0.75,0.84375,0.375
logic,10,3408,25,0,0.17578125,0.9375,0.75,0.125
logic,10,3408,30,0,0.13671875,0.875,0.59375,0.21875
logic,10,3408,35,0,0.08203125,0.71875,0.1875,0.0
logic,10,3408,40,0,0.029296875,0.34375,0.25,0.03125
logic,10,3408,45,0,0.09765625,0.71875,0.5,0.09375
logic,10,3408,50,0,0.06640625,0.59375,0.15625,0.03125
logic,10,3409,1,1,1.0,1.0,1.0,1.0
logic,10,3409,2,1,1.0,1.0,1.0,1.0
logic,10,3409,5,1,1.0,1.0,1.0,1.0
logic,10,3409,10,1,1.0,1.0,1.0,1.0
logic,10,3409,12,0,0.908203125,1.0,1.0,1.0
logic,10,3409,15,0,0.68359375,1.0,0.78125,0.6875
logic,10,3409,18,0,0.361328125,1.0,0.96875,0.84375
logic,10,3409,20,0,0.150390625,0.90625,0.9375,0.625
logic,10,3409,25,0,0.1171875,0.84375,0.875,0.25
logic,10,3409,30,0,0.1015625,0.8125,0.75,0.09375
logic,10,3409,35,0,0.056640625,0.5625,0.1875,0.0
logic,10,3409,40,0,0.044921875,0.5,0.34375,0.09375
logic,10,3409,45,0,0.076171875,0.6875,0.46875,0.125
logic,10,3409,50,0,0.0546875,0.5625,0.0625,0.0
logic,15,3407,1,1,1.0,1.0,1.0,1.0
logic,15,3407,2,1,1.0,1.0,1.0,1.0
logic,15,3407,5,1,1.0,1.0,1.0,1.0
logic,15,3407,10,1,1.0,1.0,1.0,1.0
logic,15,3407,12,1,0.998046875,1.0,1.0,1.0
logic,15,3407,15,1,0.99609375,1.0,1.0,1.0
logic,15,3407,18,0,0.6171875,1.0,1.0,1.0
logic,15,3407,20,0,0.193359375,0.9375,1.0,0.875
logic,15,3407,25,0,0.03125,0.40625,0.4375,0.0
logic,15,3407,30,0,0.037109375,0.46875,0.09375,0.03125
logic,15,3407,35,0,0.044921875,0.53125,0.0625,0.0
logic,15,3407,40,0,0.0078125,0.09375,0.0,0.0
logic,15,3407,45,0,0.01953125,0.28125,0.03125,0.0
logic,15,3407,50,0,0.00390625,0.0625,0.0,0.0
logic,15,3408,1,1,1.0,1.0,1.0,1.0
logic,15,3408,2,1,1.0,1.0,1.0,1.0
logic,15,3408,5,1,1.0,1.0,1.0,1.0
