template,train_max,n,train_correct16_mean,train_correct16_std,train_joint16_mean,train_joint16_std,ood_correct1_mean,ood_correct1_std,ood_correct16_mean,ood_correct16_std,ood_joint16_mean,ood_joint16_std,hard_correct16_mean,hard_correct16_std,hard_joint16_mean,hard_joint16_std,depth50_correct16_mean,depth50_correct16_std,depth50_joint16_mean,depth50_joint16_std,elapsed_hours_mean,elapsed_hours_std,auc_all_correct16,auc_ood_correct16,max_depth_correct16_ge_0p8,max_depth_correct16_ge_0p5,max_depth_correct16_ge_0p25,auc_all_joint16,auc_ood_joint16,max_depth_joint16_ge_0p8,max_depth_joint16_ge_0p5,max_depth_joint16_ge_0p25
logic,5,3,1.0,0.0,1.0,0.0,0.030598958333333332,0.01214444794382633,0.29261363636363635,0.10433010594027806,0.05208333333333333,0.013981840019160417,0.20717592592592593,0.10941020646385624,0.01273148148148148,0.0032736425054932764,0.13541666666666666,0.10622957319984969,0.010416666666666666,0.01473139127471974,7.588200693141946,0.4193265120218612,0.36777210884353745,0.2359375,10,12,45,0.16900510204081629,0.026953125000000005,5,5,10
logic,10,3,1.0,0.0,1.0,0.0,0.2482421875,0.01148530502186653,0.7270833333333333,0.08989770420996424,0.3625,0.007654655446197427,0.6967592592592593,0.09988633801107136,0.2916666666666667,0.00850517271799714,0.4791666666666667,0.1405285162836671,0.010416666666666666,0.01473139127471974,4.567587641029445,0.5099461907480652,0.7557397959183675,0.6850328947368421,25,35,50,0.4303784013605442,0.2654879385964912,18,18,20
logic,15,3,1.0,0.0,1.0,0.0,0.16617838541666666,0.04588819168480729,0.6341145833333334,0.11853965288271918,0.29296875,0.046329288736086445,0.6747685185185185,0.10536858034019483,0.3715277777777778,0.04118158998763239,0.3541666666666667,0.21998658418690495,0.041666666666666664,0.03897559777889522,5.160641957695927,0.4626265617191593,0.7358630952380953,0.5955403645833333,20,35,50,0.47587159863945583,0.19742838541666666,20,20,25
logic,20,3,1.0,0.0,1.0,0.0,0.2842881944444444,0.05547517683870846,0.8298611111111112,0.03247966481574601,0.4409722222222222,0.07246054428718474,0.8865740740740741,0.021653109877164036,0.6273148148148148,0.04830702952478984,0.8541666666666666,0.02946278254943948,0.19791666666666666,0.14950729265007628,3.4491725862171303,0.1256982608802403,0.9032738095238094,0.8177083333333333,50,50,50,0.6986607142857143,0.4177083333333333,25,30,45
logic,25,3,1.0,0.0,1.0,0.0,0.51328125,0.059726038768959454,0.9208333333333334,0.03397813839645854,0.7104166666666667,0.09483172230617536,0.9560185185185185,0.018876743553588052,0.8391203703703703,0.05268429017009742,0.8333333333333334,0.10622957319984969,0.4166666666666667,0.15590239111558088,4.060947760621294,0.18362054806753722,0.9681122448979592,0.921875,50,50,50,0.8820153061224489,0.7109375,35,45,50
nl_exact,5,3,1.0,0.0,1.0,0.0,0.3533380681818182,0.013886562744614188,0.5018939393939394,0.07638236678059009,0.3181818181818182,0.010629708485153244,0.3912037037037037,0.09335622606516564,0.16666666666666669,0.012991865926298408,0.2916666666666667,0.21245914639969937,0.0,0.0,4.892955506516856,0.9965119602155327,0.5212585034013605,0.4135416666666668,18,18,50,0.33971088435374147,0.19114583333333332,12,18,18
nl_exact,10,3,1.0,0.0,1.0,0.0,0.3543619791666667,0.016756957574993705,0.4822916666666667,0.060613902191567336,0.2989583333333333,0.0038975597778895085,0.42476851851851855,0.06734878021285258,0.22106481481481483,0.004330621975432797,0.4166666666666667,0.17368054167221944,0.0,0.0,4.514629096411297,0.5867975819700851,0.5310374149659863,0.3952850877192983,18,18,50,0.3670280612244898,0.18379934210526316,18,18,18
nl_exact,15,3,1.0,0.0,1.0,0.0,0.19059244791666666,0.03147384160241261,0.3216145833333333,0.05155986946151909,0.13671875,0.01390244564066577,0.39699074074074076,0.045830995076905856,0.2326388888888889,0.012357729458369576,0.2604166666666667,0.1405285162836671,0.0,0.0,5.365734630835373,0.6167661515516198,0.5128613945578232,0.2545572916666667,18,18,50,0.37553146258503406,0.04427083333333334,18,18,18
nl_exact,20,3,1.0,0.0,1.0,0.0,0.2202690972222222,0.02648058569913863,0.4739583333333333,0.01948779888944761,0.21875,0.10390592366281251,0.6493055555555556,0.0129918659262984,0.47916666666666663,0.06927061577520832,0.40625,0.15934435979977452,0.11458333333333333,0.16204530402191714,5.441761873694534,0.38190600794759416,0.7082270408163265,0.45520833333333327,20,25,50,0.566857993197279,0.18020833333333333,20,25,30
nl_exact,25,3,1.0,0.0,1.0,0.0,0.5743489583333333,0.062440021133479004,0.79375,0.07722397080354435,0.7479166666666667,0.05621140651346682,0.8854166666666666,0.042902206001969055,0.8599537037037037,0.03122855917414827,0.5104166666666666,0.06421264586426018,0.4270833333333333,0.05311478659992484,6.366749011360462,0.07942116460236742,0.9197491496598639,0.8033854166666666,35,50,50,0.9006164965986395,0.7565104166666666,35,45,50
