template,train_max,seed,checkpoint_step,elapsed_hours,train_correct16,train_joint16,ood_correct1,ood_correct16,ood_joint16,hard_joint16,depth50_correct16,depth50_joint16
logic,5,3407,1000,1.8168698376811112,1.0,1.0,0.04743303571428571,0.41964285714285715,0.0625,0.010416666666666666,0.0,0.0
logic,5,3407,3000,2.1384167360158366,1.0,1.0,0.044642857142857144,0.4375,0.07142857142857142,0.020833333333333332,0.3125,0.0
logic,5,3407,10000,2.6172162081230557,1.0,1.0,0.024553571428571428,0.23214285714285715,0.07142857142857142,0.0,0.0,0.0
logic,10,3407,1000,1.9293744067341645,1.0,1.0,0.04296875,0.3958333333333333,0.09375,0.09375,0.3125,0.0
logic,10,3407,3000,1.1851690903894472,1.0,1.0,0.07747395833333333,0.4791666666666667,0.21875,0.21875,0.1875,0.0
logic,10,3407,10000,1.5744842083036121,1.0,1.0,0.171875,0.5833333333333334,0.3125,0.3125,0.125,0.0
logic,15,3407,1000,1.801419061274727,1.0,1.0,0.0359375,0.3625,0.0875,0.23958333333333334,0.25,0.0
logic,15,3407,3000,1.6347546242047246,1.0,1.0,0.065625,0.575,0.1875,0.3229166666666667,0.375,0.0625
logic,15,3407,10000,1.8667461131813858,1.0,1.0,0.0609375,0.3875,0.2,0.3333333333333333,0.25,0.0
logic,20,3407,1000,1.3491362719269415,1.0,1.0,0.203125,0.90625,0.421875,0.6145833333333334,0.8125,0.0625
logic,20,3407,3000,1.2618117819744414,1.0,1.0,0.19140625,0.828125,0.375,0.5833333333333334,0.75,0.0625
logic,20,3407,10000,1.1433084711058392,1.0,1.0,0.419921875,0.875,0.53125,0.6875,0.75,0.125
logic,25,3407,1000,1.3210477970069445,1.0,1.0,0.30859375,0.9375,0.5,0.75,0.875,0.25
logic,25,3407,3000,1.4557053184202797,1.0,1.0,0.43359375,0.9791666666666666,0.6041666666666666,0.8020833333333334,1.0,0.25
logic,25,3407,10000,1.364409766382499,1.0,1.0,0.4895833333333333,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.8125,0.5
nl_exact,5,3407,1000,1.7242770912099998,1.0,1.0,0.24609375,0.41964285714285715,0.26785714285714285,0.15625,0.25,0.0
nl_exact,5,3407,3000,2.0155647888488843,1.0,1.0,0.296875,0.3482142857142857,0.2767857142857143,0.15625,0.0,0.0
nl_exact,5,3407,10000,2.01978481426333,1.0,1.0,0.3046875,0.3482142857142857,0.2767857142857143,0.15625,0.0,0.0
nl_exact,10,3407,1000,1.7299557495050006,1.0,1.0,0.23372395833333334,0.4166666666666667,0.19791666666666666,0.19791666666666666,0.625,0.0
nl_exact,10,3407,3000,1.7984893045377732,1.0,1.0,0.22786458333333334,0.28125,0.17708333333333334,0.17708333333333334,0.375,0.0
nl_exact,10,3407,10000,1.6677828544369468,1.0,1.0,0.22721354166666666,0.28125,0.17708333333333334,0.17708333333333334,0.3125,0.0
nl_exact,15,3407,1000,1.952855345616109,1.0,1.0,0.08046875,0.2875,0.0125,0.17708333333333334,0.3125,0.0625
nl_exact,15,3407,3000,2.2533950298533374,1.0,1.0,0.1125,0.3875,0.1125,0.2604166666666667,0.25,0.0
nl_exact,15,3407,10000,1.7984082589213923,1.0,1.0,0.08125,0.275,0.05,0.20833333333333334,0.3125,0.0
nl_exact,20,3407,1000,2.1097074661822264,1.0,1.0,0.189453125,0.375,0.328125,0.5520833333333334,0.1875,0.125
nl_exact,20,3407,3000,1.1178812644052798,1.0,1.0,0.208984375,0.6875,0.046875,0.3645833333333333,0.6875,0.0
nl_exact,20,3407,10000,1.9370338040694413,1.0,1.0,0.205078125,0.421875,0.203125,0.46875,0.1875,0.0
nl_exact,25,3407,1000,1.834291002118892,0.8958333333333334,0.875,0.06901041666666667,0.22916666666666666,0.0,0.375,0.1875,0.0
nl_exact,25,3407,3000,1.974992608946939,1.0,1.0,0.45703125,0.7291666666666666,0.625,0.8125,0.5,0.1875
nl_exact,25,3407,10000,1.976854202248877,1.0,1.0,0.4973958333333333,0.6458333333333334,0.625,0.8125,0.375,0.3125
