train_max,seed,delta_ood_correct16,delta_ood_joint16,delta_depth50_correct16,delta_depth50_joint16
5,3407,-0.19886363636363638,-0.23863636363636365,0.09375,0.03125
5,3408,-0.29829545454545453,-0.27840909090909094,-0.34375,0.0
5,3409,-0.13068181818181823,-0.28125,-0.21875,0.0
10,3407,0.203125,0.05937500000000001,0.03125,0.0
10,3408,0.26249999999999996,0.05937500000000001,0.25,0.03125
10,3409,0.26874999999999993,0.07187500000000002,-0.09375,0.0
15,3407,0.09375,0.08203125,-0.28125,0.0
15,3408,0.421875,0.22265625,0.21875,0.09375
15,3409,0.421875,0.1640625,0.34375,0.03125
20,3407,0.41145833333333337,0.31770833333333337,0.6875,0.125
20,3408,0.33854166666666663,0.36458333333333326,0.3125,0.40625
20,3409,0.31770833333333337,-0.015625,0.34375,-0.28125
25,3407,0.16875000000000007,-0.11250000000000004,0.375,-0.03125
25,3408,0.05625000000000002,0.025000000000000022,0.34375,0.125
25,3409,0.15625,-0.025000000000000022,0.25,-0.125
