step,prompt_tokens,target_tokens,total_tokens,proof_lines
1,80,141,221,4
1,83,149,232,4
1,85,143,228,4
1,85,147,232,4
1,82,141,223,4
1,84,143,227,4
1,84,141,225,4
1,82,144,226,4
1,82,141,223,4
1,82,141,223,4
1,83,141,224,4
1,82,148,230,4
1,83,142,225,4
1,83,142,225,4
1,85,143,228,4
1,84,142,226,4
1,82,148,230,4
1,82,142,224,4
1,80,145,225,4
1,84,145,229,4
1,80,148,228,4
1,82,140,222,4
1,80,148,228,4
1,87,151,238,4
1,83,143,226,4
1,84,143,227,4
1,82,148,230,4
1,80,146,226,4
1,84,148,232,4
1,82,142,224,4
1,82,142,224,4
1,82,140,222,4
1,82,146,228,4
1,82,140,222,4
1,87,144,231,4
1,83,139,222,4
1,82,147,229,4
1,84,144,228,4
1,83,143,226,4
1,87,142,229,4
1,82,146,228,4
1,82,142,224,4
1,82,143,225,4
1,80,146,226,4
1,80,139,219,4
1,83,146,229,4
1,85,145,230,4
1,83,142,225,4
1,84,149,233,4
1,85,150,235,4
2,144,189,333,6
2,136,179,315,6
2,136,186,322,6
2,139,180,319,6
2,144,182,326,6
2,149,190,339,6
2,136,187,323,6
2,141,176,317,6
2,136,175,311,6
2,141,176,317,6
2,136,175,311,6
2,146,179,325,6
2,136,175,311,6
2,144,180,324,6
2,141,181,322,6
2,144,189,333,6
2,136,186,322,6
2,146,181,327,6
2,146,189,335,6
2,141,176,317,6
2,146,182,328,6
2,141,182,323,6
2,144,188,332,6
2,149,178,327,6
2,139,176,315,6
2,136,175,311,6
2,146,182,328,6
2,144,180,324,6
2,136,185,321,6
2,139,185,324,6
2,139,175,314,6
2,141,176,317,6
2,136,174,310,6
2,144,181,325,6
2,139,185,324,6
2,144,179,323,6
2,141,186,327,6
2,136,178,314,6
2,139,178,317,6
2,136,179,315,6
2,141,186,327,6
2,144,177,321,6
2,144,186,330,6
2,136,175,311,6
2,146,189,335,6
2,139,180,319,6
2,141,186,327,6
2,141,180,321,6
2,144,183,327,6
2,136,177,313,6
3,192,223,415,8
3,198,223,421,8
3,206,232,438,8
3,198,232,430,8
3,202,222,424,8
3,200,226,426,8
3,198,225,423,8
3,192,231,423,8
3,197,231,428,8
3,201,229,430,8
3,200,234,434,8
3,203,227,430,8
3,195,223,418,8
3,205,228,433,8
3,203,224,427,8
3,201,238,439,8
3,201,223,424,8
3,198,231,429,8
3,192,224,416,8
3,205,227,432,8
3,202,230,432,8
3,198,237,435,8
3,197,226,423,8
3,206,235,441,8
3,200,225,425,8
3,203,224,427,8
3,201,231,432,8
3,202,233,435,8
3,197,222,419,8
3,192,233,425,8
3,198,224,422,8
3,197,223,420,8
3,197,225,422,8
3,200,224,424,8
3,201,225,426,8
3,203,231,434,8
3,203,223,426,8
3,200,233,433,8
3,192,223,415,8
3,200,225,425,8
3,201,223,424,8
3,198,222,420,8
3,192,235,427,8
3,201,228,429,8
3,206,237,443,8
3,198,235,433,8
3,195,224,419,8
3,201,227,428,8
3,200,222,422,8
3,201,233,434,8
4,262,269,531,10
4,257,281,538,10
4,262,282,544,10
4,257,274,531,10
4,251,279,530,10
4,254,268,522,10
4,251,275,526,10
4,261,274,535,10
4,257,271,528,10
4,256,276,532,10
4,258,278,536,10
4,264,284,548,10
4,248,279,527,10
4,261,275,536,10
4,253,269,522,10
4,253,274,527,10
4,262,275,537,10
4,259,270,529,10
4,262,278,540,10
4,263,286,549,10
4,257,281,538,10
4,257,278,535,10
4,262,273,535,10
4,264,272,536,10
4,251,282,533,10
4,253,276,529,10
4,260,273,533,10
4,260,275,535,10
4,253,274,527,10
4,259,269,528,10
4,256,272,528,10
4,254,275,529,10
4,257,275,532,10
4,263,278,541,10
4,248,274,522,10
4,257,274,531,10
4,259,284,543,10
4,256,284,540,10
4,251,272,523,10
4,261,278,539,10
4,262,273,535,10
4,253,270,523,10
4,262,267,529,10
4,256,285,541,10
4,262,276,538,10
4,251,282,533,10
4,253,283,536,10
4,256,269,525,10
4,257,272,529,10
4,256,273,529,10
5,313,326,639,12
5,315,323,638,12
5,318,335,653,12
5,307,319,626,12
5,313,332,645,12
5,310,322,632,12
5,314,324,638,12
5,309,323,632,12
5,316,319,635,12
5,319,323,642,12
5,315,335,650,12
5,315,336,651,12
5,310,333,643,12
5,320,323,643,12
5,314,330,644,12
5,309,322,631,12
5,320,325,645,12
5,316,320,636,12
5,309,322,631,12
5,310,318,628,12
5,321,324,645,12
5,310,320,630,12
5,310,323,633,12
5,313,320,633,12
5,323,325,648,12
5,316,325,641,12
5,330,327,657,12
5,324,315,639,12
5,315,321,636,12
5,325,326,651,12
5,318,321,639,12
5,315,318,633,12
5,310,327,637,12
5,312,326,638,12
5,316,326,642,12
5,321,324,645,12
5,326,335,661,12
5,321,337,658,12
5,313,321,634,12
5,315,324,639,12
5,327,320,647,12
5,318,333,651,12
5,310,326,636,12
5,313,327,640,12
5,313,321,634,12
5,321,330,651,12
5,316,328,644,12
5,319,327,646,12
5,315,326,641,12
5,312,326,638,12
6,388,374,762,14
6,374,387,761,14
6,374,369,743,14
6,365,369,734,14
6,371,377,748,14
6,372,377,749,14
6,365,366,731,14
6,382,389,771,14
6,387,380,767,14
6,375,380,755,14
6,371,382,753,14
6,375,383,758,14
6,373,386,759,14
6,372,373,745,14
6,374,377,751,14
6,374,384,758,14
6,376,366,742,14
6,376,373,749,14
6,372,377,749,14
6,371,373,744,14
6,369,374,743,14
6,374,385,759,14
6,386,375,761,14
6,383,376,759,14
6,369,367,736,14
6,369,376,745,14
6,372,375,747,14
6,388,374,762,14
6,376,370,746,14
6,369,388,757,14
6,369,387,756,14
6,383,375,758,14
6,371,370,741,14
6,371,378,749,14
6,372,375,747,14
6,382,374,756,14
6,376,386,762,14
6,366,373,739,14
6,375,369,744,14
6,372,383,755,14
6,374,388,762,14
6,369,381,750,14
6,369,375,744,14
6,371,381,752,14
6,371,380,751,14
6,380,392,772,14
6,375,375,750,14
6,377,382,759,14
6,372,376,748,14
6,374,370,744,14
7,437,423,860,16
7,416,424,840,16
7,422,428,850,16
7,430,432,862,16
7,432,421,853,16
7,422,431,853,16
7,430,425,855,16
7,428,412,840,16
7,419,425,844,16
7,428,420,848,16
7,428,431,859,16
7,427,436,863,16
7,428,423,851,16
7,433,420,853,16
7,447,430,877,16
7,422,422,844,16
7,424,436,860,16
7,437,433,870,16
7,437,430,867,16
7,436,423,859,16
7,438,436,874,16
7,433,423,856,16
7,428,429,857,16
7,422,414,836,16
7,439,421,860,16
7,444,418,862,16
7,422,422,844,16
7,422,425,847,16
7,431,434,865,16
7,432,426,858,16
7,428,422,850,16
7,437,425,862,16
7,428,429,857,16
7,432,437,869,16
7,427,433,860,16
7,431,436,867,16
7,439,422,861,16
7,442,425,867,16
7,433,427,860,16
7,427,420,847,16
7,428,433,861,16
7,438,426,864,16
7,447,428,875,16
7,438,423,861,16
7,422,420,842,16
7,439,417,856,16
7,427,428,855,16
7,445,424,869,16
7,432,431,863,16
7,439,425,864,16
8,483,457,940,18
8,487,468,955,18
8,489,474,963,18
8,498,475,973,18
8,492,477,969,18
8,498,469,967,18
8,490,471,961,18
8,495,471,966,18
8,487,466,953,18
8,492,478,970,18
8,495,475,970,18
8,495,470,965,18
8,489,463,952,18
8,483,473,956,18
8,490,476,966,18
8,490,467,957,18
8,500,472,972,18
8,475,466,941,18
8,501,474,975,18
8,501,480,981,18
8,481,464,945,18
8,478,464,942,18
8,495,472,967,18
8,490,479,969,18
8,495,477,972,18
8,486,461,947,18
8,489,480,969,18
8,488,466,954,18
8,493,461,954,18
8,497,469,966,18
8,488,478,966,18
8,489,464,953,18
8,486,458,944,18
8,478,469,947,18
8,486,463,949,18
8,492,469,961,18
8,487,476,963,18
8,490,465,955,18
8,495,474,969,18
8,493,474,967,18
8,483,460,943,18
8,484,474,958,18
8,493,463,956,18
8,495,468,963,18
8,487,468,955,18
8,490,475,965,18
8,492,469,961,18
8,477,470,947,18
8,484,464,948,18
8,483,468,951,18
9,552,520,1072,20
9,558,524,1082,20
9,548,516,1064,20
9,544,524,1068,20
9,556,529,1085,20
9,563,536,1099,20
9,551,520,1071,20
9,554,531,1085,20
9,552,521,1073,20
9,558,522,1080,20
9,551,514,1065,20
9,543,523,1066,20
9,545,516,1061,20
9,540,504,1044,20
9,539,517,1056,20
9,545,518,1063,20
9,540,525,1065,20
9,551,523,1074,20
9,551,514,1065,20
9,551,516,1067,20
9,546,516,1062,20
9,552,522,1074,20
9,546,512,1058,20
9,545,511,1056,20
9,549,516,1065,20
9,548,524,1072,20
9,543,512,1055,20
9,552,530,1082,20
9,551,519,1070,20
9,563,533,1096,20
9,545,524,1069,20
9,555,516,1071,20
9,558,521,1079,20
9,562,537,1099,20
9,549,521,1070,20
9,545,518,1063,20
9,554,530,1084,20
9,546,527,1073,20
9,539,514,1053,20
9,539,523,1062,20
9,536,516,1052,20
9,557,521,1078,20
9,548,515,1063,20
9,551,517,1068,20
9,549,517,1066,20
9,540,518,1058,20
9,536,513,1049,20
9,546,518,1064,20
9,537,514,1051,20
9,547,520,1067,20
10,617,572,1189,22
10,616,568,1184,22
10,605,567,1172,22
10,602,569,1171,22
10,599,566,1165,22
10,600,565,1165,22
10,596,569,1165,22
10,601,575,1176,22
10,601,571,1172,22
10,602,570,1172,22
10,599,579,1178,22
10,596,575,1171,22
10,604,573,1177,22
10,607,579,1186,22
10,610,570,1180,22
10,602,576,1178,22
10,613,574,1187,22
10,606,578,1184,22
10,620,574,1194,22
10,596,569,1165,22
10,607,576,1183,22
10,596,562,1158,22
10,611,581,1192,22
10,598,560,1158,22
10,592,559,1151,22
10,605,564,1169,22
10,609,563,1172,22
10,602,563,1165,22
10,612,571,1183,22
10,602,562,1164,22
10,605,572,1177,22
10,604,567,1171,22
10,613,575,1188,22
10,599,570,1169,22
10,623,573,1196,22
10,596,571,1167,22
10,615,571,1186,22
10,595,579,1174,22
10,610,568,1178,22
10,607,576,1183,22
10,602,571,1173,22
10,602,563,1165,22
10,606,571,1177,22
10,613,573,1186,22
10,605,574,1179,22
10,609,555,1164,22
10,601,563,1164,22
10,610,588,1198,22
10,604,568,1172,22
10,607,563,1170,22
11,675,607,1282,24
11,669,604,1273,24
11,668,614,1282,24
11,663,606,1269,24
11,663,616,1279,24
11,663,612,1275,24
11,664,606,1270,24
11,672,606,1278,24
11,668,611,1279,24
11,658,590,1248,24
11,673,604,1277,24
11,664,603,1267,24
11,657,615,1272,24
11,669,601,1270,24
11,669,601,1270,24
11,640,596,1236,24
11,652,604,1256,24
11,663,605,1268,24
11,657,604,1261,24
11,670,610,1280,24
11,675,610,1285,24
11,671,604,1275,24
11,677,613,1290,24
11,657,602,1259,24
11,652,591,1243,24
11,666,607,1273,24
11,667,608,1275,24
11,674,604,1278,24
11,668,607,1275,24
11,680,612,1292,24
11,668,603,1271,24
11,669,608,1277,24
11,666,611,1277,24
11,676,608,1284,24
11,661,605,1266,24
11,667,607,1274,24
11,666,615,1281,24
11,668,608,1276,24
11,675,604,1279,24
11,672,619,1291,24
11,669,604,1273,24
11,663,608,1271,24
11,663,607,1270,24
11,658,604,1262,24
11,663,597,1260,24
11,669,604,1273,24
11,674,593,1267,24
11,658,602,1260,24
11,668,600,1268,24
11,660,605,1265,24
12,711,647,1358,26
12,714,645,1359,26
12,729,636,1365,26
12,731,650,1381,26
12,728,656,1384,26
12,726,658,1384,26
12,722,659,1381,26
12,719,633,1352,26
12,719,639,1358,26
12,723,656,1379,26
12,723,653,1376,26
12,708,638,1346,26
12,723,655,1378,26
12,723,645,1368,26
12,730,647,1377,26
12,717,656,1373,26
12,725,668,1393,26
12,719,655,1374,26
12,719,654,1373,26
12,731,645,1376,26
12,711,638,1349,26
12,723,650,1373,26
12,736,646,1382,26
12,730,657,1387,26
12,720,641,1361,26
12,733,660,1393,26
12,725,657,1382,26
12,726,660,1386,26
12,731,658,1389,26
12,732,663,1395,26
12,729,651,1380,26
12,731,655,1386,26
12,731,643,1374,26
12,725,665,1390,26
12,737,652,1389,26
12,723,645,1368,26
12,725,654,1379,26
12,731,646,1377,26
12,723,646,1369,26
12,724,651,1375,26
12,730,656,1386,26
12,734,654,1388,26
12,727,649,1376,26
12,717,640,1357,26
12,725,649,1374,26
12,725,648,1373,26
12,721,638,1359,26
12,732,649,1381,26
12,726,649,1375,26
12,722,647,1369,26
13,770,699,1469,28
13,782,701,1483,28
13,775,693,1468,28
13,781,710,1491,28
13,772,700,1472,28
13,787,721,1508,28
13,769,696,1465,28
13,782,699,1481,28
13,766,706,1472,28
13,775,708,1483,28
13,785,703,1488,28
13,781,689,1470,28
13,780,710,1490,28
13,776,696,1472,28
13,779,683,1462,28
13,775,709,1484,28
13,781,705,1486,28
13,782,697,1479,28
13,779,695,1474,28
13,776,706,1482,28
13,788,692,1480,28
13,776,695,1471,28
13,775,703,1478,28
13,779,705,1484,28
13,786,715,1501,28
13,781,690,1471,28
13,779,682,1461,28
13,778,697,1475,28
13,793,706,1499,28
13,772,698,1470,28
13,775,696,1471,28
13,772,711,1483,28
13,772,699,1471,28
13,775,707,1482,28
13,782,690,1472,28
13,787,700,1487,28
13,784,691,1475,28
13,776,699,1475,28
13,788,706,1494,28
13,781,696,1477,28
13,788,689,1477,28
13,788,697,1485,28
13,781,695,1476,28
13,785,702,1487,28
13,773,698,1471,28
13,782,702,1484,28
13,773,689,1462,28
13,766,703,1469,28
13,785,694,1479,28
13,779,700,1479,28
14,841,761,1602,30
14,849,761,1610,30
14,834,766,1600,30
14,834,766,1600,30
14,834,770,1604,30
14,855,761,1616,30
14,829,756,1585,30
14,849,765,1614,30
14,834,765,1599,30
14,842,758,1600,30
14,842,775,1617,30
14,837,770,1607,30
14,840,760,1600,30
14,848,750,1598,30
14,841,759,1600,30
14,837,771,1608,30
14,837,773,1610,30
14,845,767,1612,30
14,837,753,1590,30
14,837,760,1597,30
14,843,772,1615,30
14,843,769,1612,30
14,838,764,1602,30
14,838,759,1597,30
14,842,757,1599,30
14,849,764,1613,30
14,851,776,1627,30
14,837,753,1590,30
14,841,763,1604,30
14,843,759,1602,30
14,841,752,1593,30
14,838,781,1619,30
14,837,768,1605,30
14,839,750,1589,30
14,837,755,1592,30
14,854,764,1618,30
14,850,781,1631,30
14,847,767,1614,30
14,838,772,1610,30
14,831,747,1578,30
14,843,771,1614,30
14,840,763,1603,30
14,829,760,1589,30
14,838,763,1601,30
14,846,770,1616,30
14,844,780,1624,30
14,843,754,1597,30
14,846,763,1609,30
14,851,776,1627,30
14,840,770,1610,30
15,893,823,1716,32
15,911,823,1734,32
15,887,820,1707,32
15,903,810,1713,32
15,894,816,1710,32
15,894,825,1719,32
15,899,805,1704,32
15,905,818,1723,32
15,891,808,1699,32
15,905,807,1712,32
15,900,811,1711,32
15,906,820,1726,32
15,893,804,1697,32
15,900,815,1715,32
15,896,810,1706,32
15,903,804,1707,32
15,907,812,1719,32
15,900,814,1714,32
15,894,815,1709,32
15,908,825,1733,32
15,906,815,1721,32
15,899,825,1724,32
15,903,820,1723,32
15,905,829,1734,32
15,893,832,1725,32
15,911,817,1728,32
15,893,819,1712,32
15,895,817,1712,32
15,891,811,1702,32
15,901,836,1737,32
15,900,804,1704,32
15,891,816,1707,32
15,903,820,1723,32
15,894,821,1715,32
15,898,810,1708,32
15,917,807,1724,32
15,885,817,1702,32
15,903,809,1712,32
15,901,822,1723,32
15,894,818,1712,32
15,893,810,1703,32
15,900,814,1714,32
15,888,812,1700,32
15,899,813,1712,32
15,906,814,1720,32
15,890,809,1699,32
15,905,821,1726,32
15,898,821,1719,32
15,893,814,1707,32
15,905,820,1725,32
16,957,852,1809,34
16,955,838,1793,34
16,960,846,1806,34
16,949,839,1788,34
16,958,858,1816,34
16,961,848,1809,34
16,960,833,1793,34
16,956,843,1799,34
16,955,849,1804,34
16,951,839,1790,34
16,956,833,1789,34
16,961,836,1797,34
16,967,832,1799,34
16,961,829,1790,34
16,958,854,1812,34
16,953,832,1785,34
16,973,853,1826,34
16,952,833,1785,34
16,956,847,1803,34
16,971,845,1816,34
16,953,845,1798,34
16,949,838,1787,34
