band,metric,k,condition,mean,std,count
train_1_5,correct_pass,1,train0p0_correct_only,0.9984895833333333,0.0005915529526874829,3
train_1_5,correct_pass,1,train0p0_validity_gated,0.9986979166666666,0.0007216878364870729,3
train_1_5,correct_pass,1,train0p5_correct_only,0.99859375,0.0006810779599281966,3
train_1_5,correct_pass,1,train0p5_validity_gated,0.9982291666666666,0.0009155414495440513,3
train_1_5,correct_pass,16,train0p0_correct_only,1.0,0.0,3
train_1_5,correct_pass,16,train0p0_validity_gated,1.0,0.0,3
train_1_5,correct_pass,16,train0p5_correct_only,1.0,0.0,3
train_1_5,correct_pass,16,train0p5_validity_gated,1.0,0.0,3
train_1_5,correct_pass,64,train0p0_correct_only,1.0,0.0,3
train_1_5,correct_pass,64,train0p0_validity_gated,1.0,0.0,3
train_1_5,correct_pass,64,train0p5_correct_only,1.0,0.0,3
train_1_5,correct_pass,64,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_pass,1,train0p0_correct_only,0.99859375,0.0006810779599281966,3
train_1_5,citation_free_valid_pass,1,train0p0_validity_gated,0.9987499999999999,0.0005633673867912748,3
train_1_5,citation_free_valid_pass,1,train0p5_correct_only,0.9986979166666666,0.0006505206248331104,3
train_1_5,citation_free_valid_pass,1,train0p5_validity_gated,0.99890625,0.0009757809372497645,3
train_1_5,citation_free_valid_pass,16,train0p0_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_pass,16,train0p0_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_pass,16,train0p5_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_pass,16,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_pass,64,train0p0_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_pass,64,train0p0_validity_gated,1.0,0.0,3
train_1_5,citation_free_valid_pass,64,train0p5_correct_only,1.0,0.0,3
train_1_5,citation_free_valid_pass,64,train0p5_validity_gated,1.0,0.0,3
train_1_5,citation_free_joint_pass,1,train0p0_correct_only,0.9982291666666666,0.0005022734771350692,3
