size,template,seed,gsm8k_em,gsm8k_tag,hotpot_f1,hotpot_em,twowiki_f1,twowiki_em,musique_f1,musique_em
100m,logic,3407,0.0,0.0037907505686125853,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3408,0.0,0.000758150113722517,0.0,0.0,0.0,0.0,0.0,0.0
100m,logic,3409,0.003032600454890068,0.025018953752843062,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3407,0.0,0.06974981046247157,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3408,0.0,0.08794541319181198,0.0,0.0,0.0,0.0,0.0,0.0
100m,nl_exact,3409,0.0,0.008339651250947688,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3407,0.006065200909780136,0.3153904473085671,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3408,0.00530705079605762,0.06292645943896892,0.0,0.0,0.0,0.0,0.0,0.0
200m,logic,3409,0.00530705079605762,0.266868840030326,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3407,0.004548900682335102,0.07960576194086429,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3408,0.000758150113722517,0.3206974981046247,0.0,0.0,0.0,0.0,0.0,0.0
200m,nl_exact,3409,0.000758150113722517,0.8081880212282032,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3408,0.0075815011372251705,0.01061410159211524,0.0,0.0,0.0,0.0,0.0,0.0
50m,logic,3409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3407,0.0,0.01288855193328279,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3408,0.0,0.000758150113722517,0.0,0.0,0.0,0.0,0.0,0.0
50m,nl_exact,3409,0.0,0.07354056103108415,0.0,0.0,0.0,0.0,0.0,0.0
