arm,depth,greedy,greedy_tag,greedy_tokens,pass1,pass4,pass16,maj16,sampled_tag,sampled_mean_tokens
control,5,0.04,0.735,864,0.06,0.2122,0.58,0.065,0.8588,657.9
control,10,0.02,0.62,1201,0.07,0.2311,0.555,0.14,0.8159,847.8
control,15,0.12,0.79,1032,0.0709,0.2399,0.585,0.1,0.795,1016.0
control,20,0.1,0.705,1184,0.0772,0.2592,0.6,0.135,0.7856,1097.3
control,25,0.065,0.63,1338,0.0659,0.2217,0.53,0.165,0.7022,1258.4
longdoc,5,0.085,0.925,525,0.0706,0.2453,0.63,0.08,0.875,648.4
longdoc,10,0.125,0.85,705,0.0838,0.2759,0.635,0.165,0.8372,868.0
longdoc,15,0.145,0.945,755,0.0856,0.2784,0.61,0.16,0.8337,1005.1
longdoc,20,0.145,0.94,1041,0.0791,0.2658,0.635,0.185,0.7512,1241.4
longdoc,25,0.15,0.8,1430,0.0663,0.2228,0.56,0.14,0.6859,1345.2
logic_band25,5,0.31,0.94,375,0.2575,0.6548,0.97,0.355,0.9656,345.4
logic_band25,10,0.165,0.975,575,0.1944,0.516,0.855,0.26,0.9606,527.5
logic_band25,15,0.295,0.995,414,0.2206,0.5226,0.79,0.29,0.975,609.3
logic_band25,20,0.2,0.99,544,0.1706,0.4114,0.74,0.205,0.9516,766.5
logic_band25,25,0.21,0.985,721,0.1875,0.4362,0.715,0.25,0.9478,927.5
nl_exact_band25,5,0.505,1.0,226,0.4119,0.7986,0.955,0.66,0.9888,272.8
nl_exact_band25,10,0.33,1.0,300,0.2687,0.6368,0.915,0.39,0.9819,484.7
nl_exact_band25,15,0.315,1.0,356,0.2422,0.5623,0.845,0.26,0.9866,581.1
nl_exact_band25,20,0.215,1.0,446,0.2184,0.5137,0.78,0.24,0.9738,755.1
nl_exact_band25,25,0.315,1.0,527,0.2269,0.5308,0.825,0.25,0.9709,865.5
