arm,depth,greedy,greedy_tag,pass1,pass4,pass16,maj16,sampled_tag,sampled_mean_tokens
control,5,0.065,0.765,0.05,0.1751,0.48,0.08,0.8888,2046.5
control,10,0.04,0.645,0.0569,0.1968,0.515,0.08,0.8366,2044.9
control,15,0.135,0.785,0.0491,0.1736,0.465,0.065,0.8041,2046.4
control,20,0.055,0.69,0.0622,0.2153,0.535,0.12,0.8022,2046.6
control,25,0.08,0.725,0.055,0.1899,0.485,0.125,0.7269,2046.4
longdoc,5,0.08,0.875,0.0919,0.3078,0.715,0.135,0.9009,2048.0
longdoc,10,0.1,0.84,0.0847,0.276,0.63,0.15,0.8469,2048.0
longdoc,15,0.115,0.925,0.0828,0.2708,0.625,0.13,0.8644,2048.0
longdoc,20,0.17,0.91,0.0925,0.2939,0.64,0.19,0.7947,2046.9
longdoc,25,0.14,0.795,0.0691,0.2272,0.56,0.095,0.735,2048.0
logic_band25,5,0.31,0.94,0.1897,0.5214,0.88,0.365,0.9794,2047.2
logic_band25,10,0.17,0.975,0.1684,0.4616,0.79,0.26,0.9834,2047.5
logic_band25,15,0.27,0.995,0.1681,0.4527,0.755,0.27,0.9819,2047.3
logic_band25,20,0.195,0.985,0.0997,0.29,0.62,0.215,0.9653,2047.5
logic_band25,25,0.185,0.98,0.0875,0.2644,0.565,0.135,0.9547,2046.3
nl_exact_band25,5,0.485,1.0,0.1822,0.5055,0.845,0.505,0.9894,2047.6
nl_exact_band25,10,0.335,1.0,0.1159,0.3517,0.72,0.29,0.9916,2047.5
nl_exact_band25,15,0.325,1.0,0.1169,0.3404,0.615,0.275,0.9891,2047.1
nl_exact_band25,20,0.235,1.0,0.0856,0.2696,0.58,0.19,0.9838,2047.3
nl_exact_band25,25,0.29,1.0,0.0859,0.2765,0.6,0.205,0.9759,2044.8
condensed_logic_band25,5,0.35,0.955,0.1456,0.4386,0.825,0.365,0.9541,2047.4
condensed_logic_band25,10,0.29,0.97,0.1588,0.467,0.85,0.375,0.9294,2047.8
condensed_logic_band25,15,0.2,0.985,0.1356,0.4099,0.79,0.305,0.9194,2046.8
condensed_logic_band25,20,0.22,0.975,0.1037,0.3323,0.695,0.26,0.8844,2046.5
condensed_logic_band25,25,0.24,0.96,0.0969,0.3097,0.7,0.225,0.7472,2046.9
