condition,mode,benchmark,row_count,stock_qa_f1,answer_head_qa_f1,answer_head_exact_match,stock_delta_vs_control,answer_head_delta_vs_control
control,direct,2wikimqa,200,0.2006370041161433,0.33408953677041914,0.27,0.0,0.0
control,direct,hotpotqa,200,0.2641668292881846,0.49181257107347764,0.37,0.0,0.0
control,direct,musique,200,0.10105334538611731,0.2208564247860101,0.13,0.0,0.0
control,instruction,2wikimqa,200,0.1101851237402484,0.20852566531843167,0.115,0.0,0.0
control,instruction,hotpotqa,200,0.11091864784704891,0.3780847890500625,0.24,0.0,0.0
control,instruction,musique,200,0.06974236377395955,0.1677969199561002,0.08,0.0,0.0
nl_p15,direct,2wikimqa,200,0.19388316896195143,0.3509896464646465,0.29,-0.006753835154191867,0.01690010969422734
nl_p15,direct,hotpotqa,200,0.3778909327772588,0.53245245329084,0.415,0.11372410348907425,0.040639882217362366
nl_p15,direct,musique,200,0.14283512880893753,0.2167191398736021,0.135,0.041781783422820226,-0.004137284912408001
nl_p15,instruction,2wikimqa,200,0.08314787799234562,0.22231115802978774,0.145,-0.027037245747902783,0.013785492711356068
nl_p15,instruction,hotpotqa,200,0.10736425610626656,0.40227279536229504,0.245,-0.003554391740782356,0.024188006312232557
nl_p15,instruction,musique,200,0.06491450918654214,0.1833880369902021,0.095,-0.004827854587417413,0.015591117034101903
logic_p15,direct,2wikimqa,200,0.21057456651062453,0.3422217893217893,0.285,0.009937562394481236,0.008132252551370178
logic_p15,direct,hotpotqa,200,0.38726484383352283,0.5226328284712152,0.405,0.12309801454533825,0.030820257397737527
logic_p15,direct,musique,200,0.1530533263886512,0.21817104008660812,0.135,0.051999981002533904,-0.0026853846994019936
logic_p15,instruction,2wikimqa,200,0.11419619530406801,0.22703109872978783,0.13,0.004011071563819607,0.01850543341135616
logic_p15,instruction,hotpotqa,200,0.11662067715579907,0.3533174365870719,0.195,0.005702029308750162,-0.02476735246299061
logic_p15,instruction,musique,200,0.0687721878195263,0.17903443514143508,0.09,-0.0009701759544332444,0.01123751518533489
