condition,mode,protocol,benchmark,row_count,next_document_marker_rate,prompt_continuation_rate,formal_open_rate,think_open_rate,answer_open_rate,answer_close_rate,rawidlow_rate,response_chars_p50,response_chars_p95,response_chars_max
control,direct,standard_short_answer,2wikimqa,200,0.15,0.385,0.0,0.0,0.0,0.0,0.0,91.0,142,158
control,direct,strict_tagged,2wikimqa,200,0.0,0.0,0.0,0.0,0.995,0.0,0.0,23.0,65,294
control,direct,standard_short_answer,hotpotqa,200,0.07,0.295,0.0,0.0,0.0,0.0,0.0,101.0,149,178
control,direct,strict_tagged,hotpotqa,200,0.0,0.01,0.0,0.0,0.985,0.0,0.0,22.0,102,297
control,direct,standard_short_answer,musique,200,0.02,0.32,0.0,0.0,0.0,0.0,0.0,107.0,149,194
control,direct,strict_tagged,musique,200,0.0,0.01,0.0,0.0,0.97,0.0,0.0,23.0,156,320
control,instruction,standard_short_answer,2wikimqa,200,0.0,0.07,0.0,0.0,0.0,0.0,0.645,112.0,142,209
control,instruction,strict_tagged,2wikimqa,200,0.0,0.0,0.0,0.0,0.755,0.0,0.25,151.5,272,330
control,instruction,standard_short_answer,hotpotqa,200,0.005,0.195,0.0,0.0,0.0,0.0,0.64,125.0,161,187
control,instruction,strict_tagged,hotpotqa,200,0.0,0.03,0.0,0.0,0.63,0.0,0.21,143.5,308,379
control,instruction,standard_short_answer,musique,200,0.0,0.08,0.0,0.0,0.0,0.0,0.485,133.0,170,187
control,instruction,strict_tagged,musique,200,0.0,0.04,0.0,0.0,0.265,0.0,0.085,265.0,332,375
nl_p15,direct,standard_short_answer,2wikimqa,200,0.31,0.23,0.0,0.0,0.0,0.0,0.0,93.0,142,152
nl_p15,direct,strict_tagged,2wikimqa,200,0.0,0.23,0.0,0.99,0.33,0.0,0.0,189.0,270,340
nl_p15,direct,standard_short_answer,hotpotqa,200,0.115,0.18,0.0,0.0,0.0,0.0,0.0,21.0,145,178
nl_p15,direct,strict_tagged,hotpotqa,200,0.0,0.235,0.0,0.975,0.3,0.0,0.0,219.0,298,359
nl_p15,direct,standard_short_answer,musique,200,0.04,0.21,0.0,0.0,0.0,0.0,0.0,67.5,146,194
nl_p15,direct,strict_tagged,musique,200,0.0,0.16,0.0,0.97,0.25,0.0,0.0,223.5,282,314
nl_p15,instruction,standard_short_answer,2wikimqa,200,0.0,0.165,0.0,0.0,0.0,0.0,0.68,111.0,146,200
nl_p15,instruction,strict_tagged,2wikimqa,200,0.0,0.005,0.0,0.0,0.855,0.0,0.28,83.0,255,291
nl_p15,instruction,standard_short_answer,hotpotqa,200,0.0,0.22,0.0,0.0,0.0,0.0,0.63,120.0,160,198
nl_p15,instruction,strict_tagged,hotpotqa,200,0.0,0.005,0.0,0.0,0.83,0.0,0.115,79.0,298,369
nl_p15,instruction,standard_short_answer,musique,200,0.0,0.19,0.0,0.0,0.0,0.0,0.54,127.0,168,187
nl_p15,instruction,strict_tagged,musique,200,0.0,0.07,0.0,0.0,0.555,0.0,0.055,212.5,321,375
logic_p15,direct,standard_short_answer,2wikimqa,200,0.275,0.185,0.0,0.0,0.0,0.0,0.0,78.5,141,152
logic_p15,direct,strict_tagged,2wikimqa,200,0.0,0.0,0.99,0.0,0.01,0.0,0.0,177.0,207,225
logic_p15,direct,standard_short_answer,hotpotqa,200,0.105,0.155,0.0,0.0,0.0,0.0,0.0,18.0,145,166
logic_p15,direct,strict_tagged,hotpotqa,200,0.0,0.0,0.99,0.0,0.01,0.0,0.0,177.0,224,264
logic_p15,direct,standard_short_answer,musique,200,0.04,0.175,0.0,0.0,0.0,0.0,0.0,27.0,138,167
logic_p15,direct,strict_tagged,musique,200,0.0,0.0,0.985,0.0,0.015,0.0,0.0,175.5,222,258
logic_p15,instruction,standard_short_answer,2wikimqa,200,0.045,0.055,0.0,0.0,0.0,0.0,0.655,112.0,146,161
logic_p15,instruction,strict_tagged,2wikimqa,200,0.0,0.005,0.0,0.0,0.785,0.0,0.275,86.0,265,300
logic_p15,instruction,standard_short_answer,hotpotqa,200,0.01,0.17,0.0,0.0,0.0,0.0,0.49,125.0,155,187
logic_p15,instruction,strict_tagged,hotpotqa,200,0.0,0.0,0.0,0.0,0.865,0.0,0.16,68.5,284,393
logic_p15,instruction,standard_short_answer,musique,200,0.005,0.21,0.0,0.0,0.0,0.0,0.415,135.0,161,184
logic_p15,instruction,strict_tagged,musique,200,0.0,0.06,0.0,0.0,0.58,0.0,0.095,153.0,311,357
