condition,branch,family,row_count,invalid_extraction_count,invalid_extraction_rate,next_document_marker_count,next_document_marker_rate,prompt_marker_count,prompt_marker_rate,response_chars_mean,response_chars_p50,response_chars_p95,response_chars_max
control,direct,gsm8k,1319,0,0.0,0,0.0,0,0.0,300.24791508718727,263,621,1365
control,direct,math500,500,0,0.0,0,0.0,0,0.0,439.862,444.0,931,1466
control,direct,bbh,6511,285,0.04377207802180925,2318,0.35601290124404855,0,0.0,769.2844417140225,660,1892,5245
control,direct,mmlu_pro,12032,548,0.045545212765957445,1452,0.12067819148936171,0,0.0,617.3300365691489,266.0,1438,12625
control,instruction,gsm8k,1319,0,0.0,0,0.0,0,0.0,650.3828658074299,676,945,1225
control,instruction,math500,500,0,0.0,0,0.0,0,0.0,724.488,719.0,1031,1182
control,instruction,bbh,6511,238,0.03655352480417755,0,0.0,0,0.0,3580.9150668100137,3958,4970,6044
control,instruction,mmlu_pro,12032,147,0.012217420212765957,0,0.0,0,0.0,8592.818484042553,8839.0,11051,13527
logic,direct,gsm8k,1319,0,0.0,0,0.0,0,0.0,287.3836239575436,254,552,1365
logic,direct,math500,500,0,0.0,0,0.0,0,0.0,422.628,405.0,946,1208
logic,direct,bbh,6511,276,0.04238980187375211,3904,0.5996006757794502,0,0.0,814.4696667178621,694,1819,5230
logic,direct,mmlu_pro,12032,479,0.03981050531914894,5472,0.45478723404255317,0,0.0,685.5423869680851,359.0,1477,13044
logic,instruction,gsm8k,1319,0,0.0,0,0.0,0,0.0,635.6209249431388,642,980,1551
logic,instruction,math500,500,0,0.0,0,0.0,0,0.0,754.058,744.0,1053,1207
logic,instruction,bbh,6511,226,0.03471048994010137,0,0.0,0,0.0,1915.571187221625,1374,4473,6030
logic,instruction,mmlu_pro,12032,160,0.013297872340425532,0,0.0,0,0.0,8187.46916555851,8659.5,11087,14924
nl_exact,direct,gsm8k,1319,0,0.0,0,0.0,0,0.0,304.67172100075817,263,637,1365
nl_exact,direct,math500,500,0,0.0,0,0.0,0,0.0,424.364,424.0,937,1213
nl_exact,direct,bbh,6511,286,0.043925664260482264,3777,0.5800952234679773,0,0.0,815.6886806942098,705,1862,5246
nl_exact,direct,mmlu_pro,12032,570,0.04737367021276596,5957,0.4950964095744681,0,0.0,756.1597406914893,375.0,2212,14135
nl_exact,instruction,gsm8k,1319,0,0.0,0,0.0,0,0.0,574.1614859742228,581,922,1478
nl_exact,instruction,math500,500,0,0.0,0,0.0,0,0.0,753.278,742.0,1046,1208
nl_exact,instruction,bbh,6511,241,0.03701428352019659,0,0.0,0,0.0,2027.52895100599,996,4807,6030
nl_exact,instruction,mmlu_pro,12032,152,0.012632978723404254,0,0.0,0,0.0,8541.695644946809,8736.0,11123,14335
