condition,branch,macro,task_count,value,delta_vs_control,instruction_minus_direct
control,direct,all_primary,10,0.6051984389665591,0.0,-0.10602130561442957
control,direct,reasoning_core,5,0.4946326474879745,0.0,-0.18948664100101742
control,direct,general_multiple_choice,5,0.7157642304451437,0.0,-0.022555970227841615
control,direct,logic_targeted,6,0.5316047107014849,0.0,-0.3685222734254992
control,instruction,all_primary,10,0.49917713335212954,0.0,-0.10602130561442957
control,instruction,reasoning_core,5,0.30514600648695706,0.0,-0.18948664100101742
control,instruction,general_multiple_choice,5,0.6932082602173021,0.0,-0.022555970227841615
control,instruction,logic_targeted,6,0.16308243727598565,0.0,-0.3685222734254992
logic,direct,all_primary,10,0.6085297847764222,0.003331345809863051,-0.10750781621058414
logic,direct,reasoning_core,5,0.5016943463325284,0.007061698844553932,-0.19274327505228772
logic,direct,general_multiple_choice,5,0.7153652232203159,-0.0003990072248277743,-0.02227235736888067
logic,direct,logic_targeted,6,0.5200365250042669,-0.011568185697217959,-0.35746612049837856
logic,instruction,all_primary,10,0.501021968565838,0.0018448352137084845,-0.10750781621058414
logic,instruction,reasoning_core,5,0.3089510712802407,0.00380506479328363,-0.19274327505228772
logic,instruction,general_multiple_choice,5,0.6930928658514353,-0.00011539436586682772,-0.02227235736888067
logic,instruction,logic_targeted,6,0.16257040450588836,-0.0005120327700972871,-0.35746612049837856
nl_exact,direct,all_primary,10,0.6040717903584687,-0.0011266486080904192,-0.10217860690818137
nl_exact,direct,reasoning_core,5,0.4934623452046378,-0.0011703022833366994,-0.1787469955870034
nl_exact,direct,general_multiple_choice,5,0.7146812355122997,-0.001082994932844028,-0.02561021822935927
nl_exact,direct,logic_targeted,6,0.5247243556920976,-0.006880355009387218,-0.3629220003413552
nl_exact,instruction,all_primary,10,0.5018931834502873,0.002716050098157785,-0.10217860690818137
nl_exact,instruction,reasoning_core,5,0.31471534961763437,0.00956934313067731,-0.1787469955870034
nl_exact,instruction,general_multiple_choice,5,0.6890710172829404,-0.0041372429343616846,-0.02561021822935927
nl_exact,instruction,logic_targeted,6,0.16180235535074244,-0.0012800819252432039,-0.3629220003413552
