Package                            Version       Editable project location
---------------------------------- ------------- ----------------------------------------------------------------
absl-py                            2.4.0
accelerate                         1.13.0
aiofiles                           23.2.1
aiohappyeyeballs                   2.6.1
aiohttp                            3.13.5
aiohttp-cors                       0.8.1
aiosignal                          1.4.0
altair                             5.5.0
annotated-doc                      0.0.4
annotated-types                    0.7.0
anthropic                          0.71.0
antlr4-python3-runtime             4.11.0
anyio                              4.13.0
apache-tvm-ffi                     0.1.9
astor                              0.8.1
attrs                              26.1.0
bitsandbytes                       0.49.2
blake3                             1.0.8
blobfile                           3.2.0
cachetools                         7.0.5
cbor2                              5.9.0
certifi                            2026.2.25
cffi                               2.0.0
chardet                            5.2.0
charset-normalizer                 3.4.6
click                              8.3.1
cloudpickle                        3.1.2
codetiming                         1.4.0
colorama                           0.4.6
colorful                           0.5.8
compressed-tensors                 0.12.2
contourpy                          1.3.3
cryptography                       46.0.6
cuda-bindings                      13.2.0
cuda-pathfinder                    1.5.0
cuda-python                        13.2.0
cupy-cuda12x                       13.6.0
cut-cross-entropy                  25.1.1
cycler                             0.12.1
dataproperty                       1.1.0
datasets                           4.3.0
depyf                              0.20.0
diffusers                          0.37.1
dill                               0.4.0
diskcache                          5.6.3
distlib                            0.4.0
distro                             1.9.0
dnspython                          2.8.0
docstring-parser                   0.17.0
einops                             0.8.2
email-validator                    2.3.0
evaluate                           0.4.6
fastapi                            0.135.3
fastapi-cli                        0.0.24
fastapi-cloud-cli                  0.15.1
fastar                             0.9.0
fastrlock                          0.8.3
ffmpy                              1.0.0
filelock                           3.25.2
flash-attn                         2.8.3
flashinfer-python                  0.5.2
fonttools                          4.62.1
frozendict                         2.4.7
frozenlist                         1.8.0
fsspec                             2025.9.0
gguf                               0.18.0
gitdb                              4.0.12
gitpython                          3.1.46
google-api-core                    2.30.1
google-auth                        2.49.1
googleapis-common-protos           1.73.1
gradio                             3.50.2
gradio-client                      0.6.1
grpcio                             1.80.0
h11                                0.16.0
hf-transfer                        0.1.9
hf-xet                             1.4.3
httpcore                           1.0.9
httptools                          0.7.1
httpx                              0.28.1
huggingface-hub                    0.36.2
hydra-core                         1.3.2
hydra-submitit-launcher            1.2.0
idna                               3.11
importlib-metadata                 8.7.1
importlib-resources                6.5.2
iniconfig                          2.3.0
interegular                        0.3.3
jinja2                             3.1.6
