schema	step	metric	mean	std
correct_plus_0p1_format	1	correct	1.000000	0.000000
correct_plus_0p1_format	1	valid	1.000000	0.000000
correct_plus_0p1_format	1	format	1.000000	0.000000
correct_plus_0p1_format	1	syntactic	1.000000	0.000000
correct_plus_0p1_format	2	correct	1.000000	0.000000
correct_plus_0p1_format	2	valid	0.900000	0.000000
correct_plus_0p1_format	2	format	1.000000	0.000000
correct_plus_0p1_format	2	syntactic	0.950000	0.000000
correct_plus_0p1_format	3	correct	1.000000	0.000000
correct_plus_0p1_format	3	valid	1.000000	0.000000
correct_plus_0p1_format	3	format	1.000000	0.000000
correct_plus_0p1_format	3	syntactic	1.000000	0.000000
correct_plus_0p1_format	4	correct	1.000000	0.000000
correct_plus_0p1_format	4	valid	0.683333	0.023570
correct_plus_0p1_format	4	format	1.000000	0.000000
correct_plus_0p1_format	4	syntactic	1.000000	0.000000
correct_plus_0p1_format	5	correct	1.000000	0.000000
correct_plus_0p1_format	5	valid	0.800000	0.000000
correct_plus_0p1_format	5	format	1.000000	0.000000
correct_plus_0p1_format	5	syntactic	1.000000	0.000000
correct_plus_0p1_format	6	correct	1.000000	0.000000
correct_plus_0p1_format	6	valid	0.533333	0.084984
correct_plus_0p1_format	6	format	1.000000	0.000000
correct_plus_0p1_format	6	syntactic	1.000000	0.000000
correct_plus_0p1_format	7	correct	1.000000	0.000000
correct_plus_0p1_format	7	valid	0.616667	0.047140
correct_plus_0p1_format	7	format	1.000000	0.000000
correct_plus_0p1_format	7	syntactic	1.000000	0.000000
correct_plus_0p1_format	8	correct	1.000000	0.000000
correct_plus_0p1_format	8	valid	0.750000	0.040825
correct_plus_0p1_format	8	format	1.000000	0.000000
correct_plus_0p1_format	8	syntactic	1.000000	0.000000
correct_plus_0p1_format	9	correct	1.000000	0.000000
correct_plus_0p1_format	9	valid	0.750000	0.081650
correct_plus_0p1_format	9	format	1.000000	0.000000
correct_plus_0p1_format	9	syntactic	1.000000	0.000000
correct_plus_0p1_format	10	correct	1.000000	0.000000
correct_plus_0p1_format	10	valid	0.733333	0.047140
correct_plus_0p1_format	10	format	1.000000	0.000000
correct_plus_0p1_format	10	syntactic	1.000000	0.000000
correct_plus_0p1_format	11	correct	0.966667	0.023570
correct_plus_0p1_format	11	valid	0.700000	0.000000
correct_plus_0p1_format	11	format	1.000000	0.000000
correct_plus_0p1_format	11	syntactic	1.000000	0.000000
correct_plus_0p1_format	12	correct	1.000000	0.000000
correct_plus_0p1_format	12	valid	0.766667	0.124722
correct_plus_0p1_format	12	format	1.000000	0.000000
correct_plus_0p1_format	12	syntactic	1.000000	0.000000
correct_plus_0p1_format	13	correct	0.883333	0.023570
correct_plus_0p1_format	13	valid	0.316667	0.102740
correct_plus_0p1_format	13	format	1.000000	0.000000
correct_plus_0p1_format	13	syntactic	1.000000	0.000000
correct_plus_0p1_format	14	correct	0.950000	0.040825
correct_plus_0p1_format	14	valid	0.533333	0.062361
correct_plus_0p1_format	14	format	1.000000	0.000000
correct_plus_0p1_format	14	syntactic	1.000000	0.000000
correct_plus_0p1_format	15	correct	0.966667	0.047140
correct_plus_0p1_format	15	valid	0.483333	0.117851
correct_plus_0p1_format	15	format	1.000000	0.000000
correct_plus_0p1_format	15	syntactic	1.000000	0.000000
correct_plus_0p1_format	16	correct	0.933333	0.094281
correct_plus_0p1_format	16	valid	0.416667	0.117851
correct_plus_0p1_format	16	format	1.000000	0.000000
correct_plus_0p1_format	16	syntactic	1.000000	0.000000
correct_plus_0p1_format	17	correct	0.916667	0.117851
correct_plus_0p1_format	17	valid	0.383333	0.023570
correct_plus_0p1_format	17	format	1.000000	0.000000
correct_plus_0p1_format	17	syntactic	1.000000	0.000000
correct_plus_0p1_format	18	correct	0.966667	0.023570
correct_plus_0p1_format	18	valid	0.183333	0.084984
correct_plus_0p1_format	18	format	1.000000	0.000000
correct_plus_0p1_format	18	syntactic	1.000000	0.000000
correct_plus_0p1_format	19	correct	0.866667	0.062361
correct_plus_0p1_format	19	valid	0.200000	0.108012
correct_plus_0p1_format	19	format	0.983333	0.023570
correct_plus_0p1_format	19	syntactic	0.983333	0.023570
correct_plus_0p1_format	20	correct	0.800000	0.081650
correct_plus_0p1_format	20	valid	0.050000	0.040825
correct_plus_0p1_format	20	format	0.983333	0.023570
correct_plus_0p1_format	20	syntactic	0.983333	0.023570
correct_plus_valid_plus_0p1_format	1	correct	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	valid	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	format	1.000000	0.000000
correct_plus_valid_plus_0p1_format	1	syntactic	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	correct	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	valid	0.966667	0.023570
correct_plus_valid_plus_0p1_format	2	format	1.000000	0.000000
correct_plus_valid_plus_0p1_format	2	syntactic	0.983333	0.023570
correct_plus_valid_plus_0p1_format	3	correct	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	valid	1.000000	0.000000
correct_plus_valid_plus_0p1_format	3	format	1.000000	0.000000
