schema	seed	band	metric	pass@1	pass@8	pass@64
correct_plus_0p1_format	3407	band_train	correct	0.998750	1.000000	1.000000
correct_plus_0p1_format	3407	band_train	valid	0.754766	0.992704	0.995000
correct_plus_0p1_format	3407	band_train	joint	0.754766	0.992704	0.995000
correct_plus_0p1_format	3407	band_train	valid_given_correct	0.755710	0.992704	0.995000
correct_plus_0p1_format	3407	band_train	invalid_but_correct	0.243984	0.007296	0.005000
correct_plus_0p1_format	3407	band_train	format	1.000000	1.000000	1.000000
correct_plus_0p1_format	3407	band_train	syntactic	0.992031	1.000000	1.000000
correct_plus_0p1_format	3407	band_ood	correct	0.935312	0.984948	0.995000
correct_plus_0p1_format	3407	band_ood	valid	0.334766	0.790376	0.960000
correct_plus_0p1_format	3407	band_ood	joint	0.333281	0.783783	0.950000
correct_plus_0p1_format	3407	band_ood	valid_given_correct	0.356331	0.795761	0.954774
correct_plus_0p1_format	3407	band_ood	invalid_but_correct	0.602031	0.201165	0.045000
correct_plus_0p1_format	3407	band_ood	format	0.999141	1.000000	1.000000
correct_plus_0p1_format	3407	band_ood	syntactic	0.981094	1.000000	1.000000
correct_plus_0p1_format	3407	band_hard_tail	correct	0.919141	0.983640	1.000000
correct_plus_0p1_format	3407	band_hard_tail	valid	0.236458	0.709296	0.966667
correct_plus_0p1_format	3407	band_hard_tail	joint	0.234505	0.699837	0.950000
correct_plus_0p1_format	3407	band_hard_tail	valid_given_correct	0.255135	0.711477	0.950000
correct_plus_0p1_format	3407	band_hard_tail	invalid_but_correct	0.684635	0.283803	0.050000
correct_plus_0p1_format	3407	band_hard_tail	format	0.998568	1.000000	1.000000
correct_plus_0p1_format	3407	band_hard_tail	syntactic	0.976042	1.000000	1.000000
correct_plus_0p1_format	3408	band_train	correct	0.999609	1.000000	1.000000
correct_plus_0p1_format	3408	band_train	valid	0.724297	0.991731	0.995000
correct_plus_0p1_format	3408	band_train	joint	0.724297	0.991731	0.995000
correct_plus_0p1_format	3408	band_train	valid_given_correct	0.724580	0.991731	0.995000
correct_plus_0p1_format	3408	band_train	invalid_but_correct	0.275313	0.008269	0.005000
correct_plus_0p1_format	3408	band_train	format	1.000000	1.000000	1.000000
correct_plus_0p1_format	3408	band_train	syntactic	0.993203	1.000000	1.000000
correct_plus_0p1_format	3408	band_ood	correct	0.914375	0.988888	1.000000
correct_plus_0p1_format	3408	band_ood	valid	0.332188	0.776874	0.945000
correct_plus_0p1_format	3408	band_ood	joint	0.325625	0.770068	0.945000
correct_plus_0p1_format	3408	band_ood	valid_given_correct	0.356118	0.778721	0.945000
correct_plus_0p1_format	3408	band_ood	invalid_but_correct	0.588750	0.218820	0.055000
correct_plus_0p1_format	3408	band_ood	format	0.998750	1.000000	1.000000
correct_plus_0p1_format	3408	band_ood	syntactic	0.978281	1.000000	1.000000
correct_plus_0p1_format	3408	band_hard_tail	correct	0.885807	0.990731	1.000000
correct_plus_0p1_format	3408	band_hard_tail	valid	0.226953	0.686256	0.958333
correct_plus_0p1_format	3408	band_hard_tail	joint	0.216146	0.674913	0.958333
correct_plus_0p1_format	3408	band_hard_tail	valid_given_correct	0.244010	0.681228	0.958333
correct_plus_0p1_format	3408	band_hard_tail	invalid_but_correct	0.669661	0.315818	0.041667
correct_plus_0p1_format	3408	band_hard_tail	format	0.997917	1.000000	1.000000
correct_plus_0p1_format	3408	band_hard_tail	syntactic	0.972396	1.000000	1.000000
correct_plus_0p1_format	3409	band_train	correct	0.999062	1.000000	1.000000
correct_plus_0p1_format	3409	band_train	valid	0.723125	0.991545	0.995000
correct_plus_0p1_format	3409	band_train	joint	0.723047	0.991528	0.995000
correct_plus_0p1_format	3409	band_train	valid_given_correct	0.723725	0.991528	0.995000
correct_plus_0p1_format	3409	band_train	invalid_but_correct	0.276016	0.008472	0.005000
correct_plus_0p1_format	3409	band_train	format	0.999609	1.000000	1.000000
correct_plus_0p1_format	3409	band_train	syntactic	0.991016	1.000000	1.000000
correct_plus_0p1_format	3409	band_ood	correct	0.908828	0.986001	0.995000
correct_plus_0p1_format	3409	band_ood	valid	0.317578	0.728296	0.925000
correct_plus_0p1_format	3409	band_ood	joint	0.314375	0.722726	0.920000
correct_plus_0p1_format	3409	band_ood	valid_given_correct	0.345912	0.732987	0.924623
correct_plus_0p1_format	3409	band_ood	invalid_but_correct	0.594453	0.263275	0.075000
correct_plus_0p1_format	3409	band_ood	format	0.995313	1.000000	1.000000
correct_plus_0p1_format	3409	band_ood	syntactic	0.974844	1.000000	1.000000
correct_plus_0p1_format	3409	band_hard_tail	correct	0.888802	0.992258	1.000000
correct_plus_0p1_format	3409	band_hard_tail	valid	0.194792	0.612694	0.916667
correct_plus_0p1_format	3409	band_hard_tail	joint	0.193229	0.604988	0.908333
correct_plus_0p1_format	3409	band_hard_tail	valid_given_correct	0.217404	0.609708	0.908333
correct_plus_0p1_format	3409	band_hard_tail	invalid_but_correct	0.695573	0.387270	0.091667
correct_plus_0p1_format	3409	band_hard_tail	format	0.994271	1.000000	1.000000
correct_plus_0p1_format	3409	band_hard_tail	syntactic	0.967578	1.000000	1.000000
correct_plus_valid_plus_0p1_format	3407	band_train	correct	0.999375	1.000000	1.000000
correct_plus_valid_plus_0p1_format	3407	band_train	valid	0.804922	0.993228	0.995000
correct_plus_valid_plus_0p1_format	3407	band_train	joint	0.804922	0.993228	0.995000
correct_plus_valid_plus_0p1_format	3407	band_train	valid_given_correct	0.805425	0.993228	0.995000
correct_plus_valid_plus_0p1_format	3407	band_train	invalid_but_correct	0.194453	0.006772	0.005000
correct_plus_valid_plus_0p1_format	3407	band_train	format	1.000000	1.000000	1.000000
correct_plus_valid_plus_0p1_format	3407	band_train	syntactic	0.995703	1.000000	1.000000
correct_plus_valid_plus_0p1_format	3407	band_ood	correct	0.936484	0.983834	0.995000
correct_plus_valid_plus_0p1_format	3407	band_ood	valid	0.378125	0.807656	0.965000
correct_plus_valid_plus_0p1_format	3407	band_ood	joint	0.376172	0.797612	0.945000
correct_plus_valid_plus_0p1_format	3407	band_ood	valid_given_correct	0.401685	0.810718	0.949749
correct_plus_valid_plus_0p1_format	3407	band_ood	invalid_but_correct	0.560312	0.186222	0.050000
correct_plus_valid_plus_0p1_format	3407	band_ood	format	0.998984	1.000000	1.000000
correct_plus_valid_plus_0p1_format	3407	band_ood	syntactic	0.982578	1.000000	1.000000
