schema	band	metric	pass@1_mean	pass@1_std	pass@8_mean	pass@8_std	pass@64_mean	pass@64_std
correct_plus_0p1_format	band_train	correct	0.999141	0.000355	1.000000	0.000000	1.000000	0.000000
correct_plus_0p1_format	band_train	valid	0.734062	0.014647	0.991993	0.000508	0.995000	0.000000
correct_plus_0p1_format	band_train	joint	0.734036	0.014667	0.991988	0.000513	0.995000	0.000000
correct_plus_0p1_format	band_train	valid_given_correct	0.734672	0.014880	0.991988	0.000513	0.995000	0.000000
correct_plus_0p1_format	band_train	invalid_but_correct	0.265104	0.014937	0.008012	0.000513	0.005000	0.000000
correct_plus_0p1_format	band_train	format	0.999870	0.000184	1.000000	0.000000	1.000000	0.000000
correct_plus_0p1_format	band_train	syntactic	0.992083	0.000894	1.000000	0.000000	1.000000	0.000000
correct_plus_0p1_format	band_ood	correct	0.919505	0.011405	0.986612	0.001666	0.996667	0.002357
correct_plus_0p1_format	band_ood	valid	0.328177	0.007568	0.765182	0.026658	0.943333	0.014337
correct_plus_0p1_format	band_ood	joint	0.324427	0.007765	0.758859	0.026156	0.938333	0.013123
correct_plus_0p1_format	band_ood	valid_given_correct	0.352787	0.004862	0.769156	0.026505	0.941466	0.012560
correct_plus_0p1_format	band_ood	invalid_but_correct	0.595078	0.005440	0.227754	0.026131	0.058333	0.012472
correct_plus_0p1_format	band_ood	format	0.997734	0.001720	1.000000	0.000000	1.000000	0.000000
correct_plus_0p1_format	band_ood	syntactic	0.978073	0.002556	1.000000	0.000000	1.000000	0.000000
correct_plus_0p1_format	band_hard_tail	correct	0.897917	0.015057	0.988876	0.003755	1.000000	0.000000
correct_plus_0p1_format	band_hard_tail	valid	0.219401	0.017829	0.669415	0.041196	0.947222	0.021872
correct_plus_0p1_format	band_hard_tail	joint	0.214627	0.016885	0.659913	0.040148	0.938889	0.021872
correct_plus_0p1_format	band_hard_tail	valid_given_correct	0.238850	0.015830	0.667471	0.042670	0.938889	0.021872
correct_plus_0p1_format	band_hard_tail	invalid_but_correct	0.683290	0.010621	0.328963	0.043251	0.061111	0.021872
correct_plus_0p1_format	band_hard_tail	format	0.996918	0.001891	1.000000	0.000000	1.000000	0.000000
correct_plus_0p1_format	band_hard_tail	syntactic	0.972005	0.003466	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_train	correct	0.999245	0.000301	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_train	valid	0.800182	0.003891	0.992740	0.000723	0.995000	0.000000
correct_plus_valid_plus_0p1_format	band_train	joint	0.800156	0.003923	0.992739	0.000724	0.995000	0.000000
correct_plus_valid_plus_0p1_format	band_train	valid_given_correct	0.800760	0.003749	0.992739	0.000724	0.995000	0.000000
correct_plus_valid_plus_0p1_format	band_train	invalid_but_correct	0.199089	0.003703	0.007261	0.000724	0.005000	0.000000
correct_plus_valid_plus_0p1_format	band_train	format	0.999870	0.000184	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_train	syntactic	0.995391	0.001044	1.000000	0.000000	1.000000	0.000000
correct_plus_valid_plus_0p1_format	band_ood	correct	0.921589	0.011320	0.985086	0.004608	0.995000	0.004082
correct_plus_valid_plus_0p1_format	band_ood	valid	0.372526	0.005441	0.772657	0.031040	0.935000	0.022730
