schema	step	metric	k	mean	std
correct_plus_0p1_format	1	correct	1	1.000000	0.000000
correct_plus_0p1_format	1	correct	8	1.000000	0.000000
correct_plus_0p1_format	1	correct	64	1.000000	0.000000
correct_plus_0p1_format	1	valid	1	0.998958	0.001473
correct_plus_0p1_format	1	valid	8	1.000000	0.000000
correct_plus_0p1_format	1	valid	64	1.000000	0.000000
correct_plus_0p1_format	1	joint	1	0.998958	0.001473
correct_plus_0p1_format	1	joint	8	1.000000	0.000000
correct_plus_0p1_format	1	joint	64	1.000000	0.000000
correct_plus_0p1_format	1	valid_given_correct	1	0.998958	0.001473
correct_plus_0p1_format	1	valid_given_correct	8	1.000000	0.000000
correct_plus_0p1_format	1	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	1	invalid_but_correct	1	0.001042	0.001473
correct_plus_0p1_format	1	invalid_but_correct	8	0.000000	0.000000
correct_plus_0p1_format	1	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	2	correct	1	1.000000	0.000000
correct_plus_0p1_format	2	correct	8	1.000000	0.000000
correct_plus_0p1_format	2	correct	64	1.000000	0.000000
correct_plus_0p1_format	2	valid	1	0.896615	0.014268
correct_plus_0p1_format	2	valid	8	0.999882	0.000160
correct_plus_0p1_format	2	valid	64	1.000000	0.000000
correct_plus_0p1_format	2	joint	1	0.896615	0.014268
correct_plus_0p1_format	2	joint	8	0.999882	0.000160
correct_plus_0p1_format	2	joint	64	1.000000	0.000000
correct_plus_0p1_format	2	valid_given_correct	1	0.896615	0.014268
correct_plus_0p1_format	2	valid_given_correct	8	0.999882	0.000160
correct_plus_0p1_format	2	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	2	invalid_but_correct	1	0.103385	0.014268
correct_plus_0p1_format	2	invalid_but_correct	8	0.000118	0.000160
correct_plus_0p1_format	2	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	3	correct	1	1.000000	0.000000
correct_plus_0p1_format	3	correct	8	1.000000	0.000000
correct_plus_0p1_format	3	correct	64	1.000000	0.000000
correct_plus_0p1_format	3	valid	1	0.925781	0.014671
correct_plus_0p1_format	3	valid	8	1.000000	0.000000
correct_plus_0p1_format	3	valid	64	1.000000	0.000000
correct_plus_0p1_format	3	joint	1	0.925781	0.014671
correct_plus_0p1_format	3	joint	8	1.000000	0.000000
correct_plus_0p1_format	3	joint	64	1.000000	0.000000
correct_plus_0p1_format	3	valid_given_correct	1	0.925781	0.014671
correct_plus_0p1_format	3	valid_given_correct	8	1.000000	0.000000
correct_plus_0p1_format	3	valid_given_correct	64	1.000000	0.000000
correct_plus_0p1_format	3	invalid_but_correct	1	0.074219	0.014671
correct_plus_0p1_format	3	invalid_but_correct	8	0.000000	0.000000
correct_plus_0p1_format	3	invalid_but_correct	64	0.000000	0.000000
correct_plus_0p1_format	4	correct	1	1.000000	0.000000
correct_plus_0p1_format	4	correct	8	1.000000	0.000000
correct_plus_0p1_format	4	correct	64	1.000000	0.000000
correct_plus_0p1_format	4	valid	1	0.711719	0.009653
correct_plus_0p1_format	4	valid	8	0.999397	0.000102
correct_plus_0p1_format	4	valid	64	1.000000	0.000000
correct_plus_0p1_format	4	joint	1	0.711719	0.009653
correct_plus_0p1_format	4	joint	8	0.999397	0.000102
