schema	band	metric	pass@64_mean	pass@64_std
correct_plus_0p1_format	band_train	correct	0.990000	0.004082
correct_plus_0p1_format	band_train	valid	0.931667	0.042492
correct_plus_0p1_format	band_train	joint	0.923333	0.044033
correct_plus_0p1_format	band_train	valid_given_correct	0.932532	0.041395
correct_plus_0p1_format	band_train	format	1.000000	0.000000
correct_plus_0p1_format	band_ood	correct	0.998333	0.002357
correct_plus_0p1_format	band_ood	valid	0.656667	0.051854
correct_plus_0p1_format	band_ood	joint	0.570000	0.010801
correct_plus_0p1_format	band_ood	valid_given_correct	0.570972	0.011747
correct_plus_0p1_format	band_ood	format	1.000000	0.000000
correct_plus_0p1_format	band_hard_tail	correct	0.997222	0.003928
correct_plus_0p1_format	band_hard_tail	valid	0.488889	0.120249
correct_plus_0p1_format	band_hard_tail	joint	0.375000	0.053142
correct_plus_0p1_format	band_hard_tail	valid_given_correct	0.376261	0.054921
correct_plus_0p1_format	band_hard_tail	format	1.000000	0.000000
correct_plus_0p25_valid_plus_0p1_format	band_train	correct	0.990000	0.000000
correct_plus_0p25_valid_plus_0p1_format	band_train	valid	0.993333	0.002357
correct_plus_0p25_valid_plus_0p1_format	band_train	joint	0.983333	0.002357
correct_plus_0p25_valid_plus_0p1_format	band_train	valid_given_correct	0.993266	0.002381
correct_plus_0p25_valid_plus_0p1_format	band_train	format	1.000000	0.000000
correct_plus_0p25_valid_plus_0p1_format	band_ood	correct	0.995000	0.004082
correct_plus_0p25_valid_plus_0p1_format	band_ood	valid	0.683333	0.057783
correct_plus_0p25_valid_plus_0p1_format	band_ood	joint	0.610000	0.016330
correct_plus_0p25_valid_plus_0p1_format	band_ood	valid_given_correct	0.613042	0.015341
correct_plus_0p25_valid_plus_0p1_format	band_ood	format	1.000000	0.000000
correct_plus_0p25_valid_plus_0p1_format	band_hard_tail	correct	0.991667	0.006804
correct_plus_0p25_valid_plus_0p1_format	band_hard_tail	valid	0.538889	0.143426
correct_plus_0p25_valid_plus_0p1_format	band_hard_tail	joint	0.436111	0.081176
correct_plus_0p25_valid_plus_0p1_format	band_hard_tail	valid_given_correct	0.439723	0.081607
correct_plus_0p25_valid_plus_0p1_format	band_hard_tail	format	1.000000	0.000000
correct_plus_0p5_valid_plus_0p1_format	band_train	correct	0.988333	0.002357
correct_plus_0p5_valid_plus_0p1_format	band_train	valid	0.995000	0.004082
correct_plus_0p5_valid_plus_0p1_format	band_train	joint	0.981667	0.002357
correct_plus_0p5_valid_plus_0p1_format	band_train	valid_given_correct	0.993266	0.004762
correct_plus_0p5_valid_plus_0p1_format	band_train	format	1.000000	0.000000
